# body ntrans tobs tcalc ttv noise sigma
#   JED- (2430000) min min min
1.0,0,3503.764419,3503.764419,-1.745,0.4,0.5
1.0,1,3728.465761,3728.465761,-0.9231,0.73,0.5
1.0,2,3953.168654,3953.168654,2.133,-0.15,0.5
1.0,3,4177.867407,4177.867407,-0.7733,-0.044,0.5
1.0,4,4402.566638,4402.566638,-2.992,0.24,0.5
1.0,5,4627.271416,4627.271416,2.779,0.33,0.5
1.0,6,4851.972429,4851.972429,3.127,0.54,0.5
1.0,7,5076.671832,5076.671832,1.156,0.27,0.5
1.0,8,5301.369839,5301.369839,-2.823,-0.7,0.5
1.0,9,5526.069861,5526.069861,-3.903,0.43,0.5
1.0,10,5750.775,5750.775,2.388,-0.32,0.5
1.0,11,5975.474714,5975.474714,0.8655,0.4,0.5
1.0,12,6200.173076,6200.173076,-2.604,0.098,0.5
1.0,13,6424.873823,6424.873823,-2.639,0.57,0.5
1.0,14,6649.575301,6649.575301,-1.62,0.3,0.5
1.0,15,6874.278398,6874.278398,1.728,-0.09,0.5
1.0,16,7098.977537,7098.977537,-0.622,0.43,0.5
1.0,17,7323.6769,7323.6769,-2.649,-0.11,0.5
1.0,18,7548.381765,7548.381765,3.246,-0.14,0.5
1.0,19,7773.083065,7773.083065,4.008,-0.53,0.5
1.0,20,7997.782587,7997.782587,2.209,0.52,0.5
1.0,21,8222.480726,8222.480726,-1.582,-0.32,0.5
1.0,22,8447.180748,8447.180748,-2.66,-0.04,0.5
1.0,23,8671.886023,8671.886023,3.826,0.37,0.5
1.0,24,8896.58572,8896.58572,2.279,0.88,0.5
1.0,25,9121.28416,9121.28416,-1.078,-0.16,0.5
1.0,26,9345.984526,9345.984526,-1.661,0.18,0.5
1.0,27,9570.685739,9570.685739,-1.025,-0.7,0.5
1.0,28,9795.388712,9795.388712,2.146,0.097,0.5
1.0,29,10020.08741,10020.08741,-0.8333,-0.9,0.5
1.0,30,10244.78646,10244.78646,-3.321,-0.68,0.5
1.0,31,10469.49088,10469.49088,1.94,-0.2,0.5
1.0,32,10694.19204,10694.19204,2.495,-0.27,0.5
1.0,33,10918.89153,10918.89153,0.6504,0.09,0.5
1.0,34,11143.58988,11143.58988,-2.834,0.42,0.5
1.0,35,11368.28997,11368.28997,-3.812,-0.57,0.5
1.0,36,11592.99556,11592.99556,3.126,-1.6,0.5
1.0,37,11817.69562,11817.69562,2.095,-0.099,0.5
1.0,38,12042.39417,12042.39417,-1.101,-0.17,0.5
1.0,39,12267.09464,12267.09464,-1.53,0.5,0.5
1.0,40,12491.79587,12491.79587,-0.8743,-0.037,0.5
1.0,41,12716.49903,12716.49903,2.564,0.19,0.5
1.0,42,12941.19773,12941.19773,-0.4066,-0.31,0.5
1.0,43,13165.89689,13165.89689,-2.729,0.7,0.5
1.0,44,13390.60115,13390.60115,2.286,-0.54,0.5
1.0,45,13615.30236,13615.30236,2.917,0.26,0.5
1.0,46,13840.00187,13840.00187,1.101,0.054,0.5
1.0,47,14064.69993,14064.69993,-2.8,0.17,0.5
2.0,0,3624.405369,3624.405369,3.82,-0.055,0.5
2.0,1,3989.65947,3989.65947,0.4554,0.63,0.5
2.0,2,4354.916553,4354.916553,1.386,-0.65,0.5
2.0,3,4720.17036,4720.17036,-2.4,1.1,0.5
2.0,4,5085.429222,5085.429222,1.092,0.058,0.5
2.0,5,5450.686396,5450.686396,2.153,0.3,0.5
2.0,6,5815.938466,5815.938466,-4.136,0.69,0.5
2.0,7,6181.195272,6181.195272,-3.604,-0.039,0.5
2.0,8,6546.45211,6546.45211,-3.025,-0.28,0.5
2.0,9,6911.708645,6911.708645,-2.885,-0.8,0.5
2.0,10,7276.968056,7276.968056,1.398,-0.06,0.5
2.0,11,7642.223256,7642.223256,-0.3837,1.2,0.5
2.0,12,8007.481188,8007.481188,1.77,0.14,0.5
2.0,13,8372.738501,8372.738501,3.032,-0.39,0.5
2.0,14,8737.991374,8737.991374,-2.101,0.7,0.5
2.0,15,9103.249834,9103.249834,0.8134,0.11,0.5
2.0,16,9468.507242,9468.507242,2.212,-0.018,0.5
2.0,17,9833.761495,9833.761495,-0.9339,0.14,0.5
2.0,18,10199.01775,10199.01775,-1.197,0.21,0.5
2.0,19,10564.27111,10564.27111,-5.631,-0.01,0.5
2.0,20,10929.52903,10929.52903,-3.495,-0.38,0.5
2.0,21,11294.78959,11294.78959,2.449,0.85,0.5
2.0,22,11660.04436,11660.04436,0.04192,0.95,0.5
2.0,23,12025.30332,12025.30332,3.677,-0.52,0.5
2.0,24,12390.56028,12390.56028,4.44,-0.62,0.5
2.0,25,12755.81366,12755.81366,0.03613,-0.51,0.5
2.0,26,13121.07084,13121.07084,1.098,-0.72,0.5
2.0,27,13486.32491,13486.32491,-2.3,-0.26,0.5
2.0,28,13851.5827,13851.5827,-0.3645,-0.21,0.5
2.0,29,14216.84027,14216.84027,1.274,-0.27,0.5
