mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,tcos,tsin,dphi,lprob
2.53160700305072e-6,224.70077745451488,3503.7694944273435,0.000816093421074265,0.0012439938545121866,3.026999888700386e-6,365.25644672135405,3624.4087888350628,0.013954754141522292,0.0032859505668992113,0.0009799516144749917,4260.228345336057,493.7499190522208,0.03921520721582534,-0.036783758418724,9.893173780527548e-5,-0.0016339861884215217,2.25,-294.5797278170062
2.531554815807405e-6,224.70077745443845,3503.769494429799,0.000816655070395855,0.0012429446471989027,3.027003290661849e-6,365.25644672131386,3624.4087888357803,0.013955165839029619,0.003285138718329582,0.0009799586004111582,4260.229051229264,493.7628841274953,0.039215640338445816,-0.03678213030152328,9.893902877695438e-5,-0.00163401261943578,2.250401337792642,-294.21682964458876
2.5316193844349765e-6,224.70077745453264,3503.769494426833,0.0008160237410647604,0.0012445487420969046,3.0269989344688773e-6,365.25644672120427,3624.4087888375943,0.013954685242743643,0.0032863971575401137,0.0009799530880052697,4260.23012481608,493.739202657603,0.039215643634468056,-0.036784424383011424,9.893261970884222e-5,-0.0016339812117658378,2.2508026755852844,-293.8476146601681
2.5315675575792596e-6,224.70077745447503,3503.769494428591,0.0008162481347433207,0.0012429842514429567,3.027001124574433e-6,365.25644672164265,3624.4087888297827,0.013954853855793438,0.003285159912102014,0.0009799552286406915,4260.224387743332,493.7698952784097,0.039215304426159545,-0.03678248052182435,9.893863704865021e-5,-0.0016340031440014065,2.2512040133779263,-293.4797965480417
2.5316020238825214e-6,224.70077745450294,3503.7694944277864,0.0008161782373380077,0.0012441005537308163,3.027000037601905e-6,365.2564467211827,3624.408788838035,0.013954808846385353,0.0032860501290556568,0.0009799562285158693,4260.230560927452,493.744433383154,0.03921577177665116,-0.0367837044428552,9.89338206707046e-5,-0.0016339896798654345,2.2516053511705687,-293.1069658489337
2.5315923649032385e-6,224.7007774544921,3503.7694944279956,0.0008161755007126775,0.0012436027237239832,3.0270003751594906e-6,365.2564467213852,3624.4087888343324,0.01395480800521432,0.0032856436006241936,0.000979953127710097,4260.227580418689,493.75563783672544,0.03921525169208303,-0.03678335023933687,9.89343655097688e-5,-0.0016339925724800598,2.2520066889632107,-292.73303344345334
2.531556241867752e-6,224.70077745444345,3503.7694944294203,0.0008166136323956377,0.0012424958816555445,3.0270036850938387e-6,365.2564467216435,3624.4087888299323,0.013955147536312036,0.003284759061949915,0.000979949783765699,4260.224564743894,493.77581385149136,0.039214541350162474,-0.036782096735621474,9.893757361503746e-5,-0.0016340097574775551,2.252408026755853,-292.35766465845893
2.5316028287686965e-6,224.70077745451957,3503.7694944271757,0.0008160800746376416,0.0012438817140020177,3.0269998045944262e-6,365.25644672150526,3624.408788832285,0.013954733419849452,0.00328585992035035,0.0009799507414972178,4260.226211051437,493.7546397816153,0.03921520483437257,-0.036783766795085854,9.893387728670275e-5,-0.0016339873106262777,2.252809364548495,-291.97711252141664
2.5315721687787954e-6,224.70077745446613,3503.7694944286527,0.0008163923817592131,0.0012428725244132742,3.027002020297404e-6,365.2564467216482,3624.4087888297217,0.013954969881913795,0.003285056083120633,0.000979948847653203,4260.22468183171,493.7688471576298,0.03921459890823163,-0.03678281534046484,9.89375268535122e-5,-0.0016340016266208905,2.253210702341137,-291.5967542607178
2.5315719295095134e-6,224.7007774544906,3503.7694944280797,0.0008162735345519646,0.001243039487542706,3.027001550029062e-6,365.25644672176185,3624.4087888278264,0.013954877741908508,0.0032851850566351097,0.0009799494506604386,4260.222734141632,493.7730968634941,0.03921471269113325,-0.03678265868422059,9.893777468004589e-5,-0.0016340009616255887,2.2536120401337794,-291.21285772930275
2.5315891530828233e-6,224.7007774545091,3503.7694944275627,0.0008162841483017998,0.0012436899203226973,3.0270011787547896e-6,365.2564467215443,3624.4087888316258,0.013954885581215682,0.0032857043191513967,0.0009799498581885677,4260.224928908043,493.76173746313293,0.03921509068598079,-0.03678332871677925,9.893702453148115e-5,-0.001633994433949248,2.2540133779264213,-290.8260865293714
2.531589006735018e-6,224.7007774544763,3503.769494428321,0.0008161892440151559,0.0012432590433967196,3.0270004527957683e-6,365.2564467214692,3624.408788832725,0.01395481756139203,0.003285371330677268,0.000979952136055239,4260.227143734191,493.7582037428881,0.03921504613253324,-0.03678331882049017,9.893445910962723e-5,-0.0016339934557055098,2.2544147157190637,-290.4372637491975
