args = ["full", "180.0", "20", "ppp"]
Initial parameters: [3.0e-6, 224.70077468037974, 2.4335037651726888e6, 0.01, 0.01, 3.0e-6, 365.2563243804315, 2.4336244039409435e6, 0.01, 0.01]
Initial chi-square: 64.72380449371099
Finished 2-planet fit: [2.752754475174769e-6, 224.70076672072267, 2.4335037652657432e6, -0.00025383576581216135, 0.07602827780001531, 2.480957099522087e-6, 365.2563333641542, 2.433624403888166e6, 0.014603441175915142, 0.05766737820990246]
Period: 4163.799999999999 log Prob: -99.68791200968663 Param: [3.1462900760686116e-6, 224.70075898935838, 2.4335037653793544e6, -0.03197592104111705, 0.01694261899578067, 2.090559233511582e-6, 365.25640675267636, 2.4336244031724343e6, -0.017987216274279107, 0.008154778211401412, -0.0032651932396552015, 4163.799999999999, 2.4377424708767515e6, 0.11548485660315701, 0.011724726144948325]
Period: 4165.047201931268 log Prob: -99.70161625168436 Param: [3.1462628593774996e-6, 224.7007589877143, 2.4335037653794168e6, -0.03197163333213093, 0.01698922761478002, 2.090773677123867e-6, 365.25640656722, 2.433624403174314e6, -0.017974790637814157, 0.008188912717551953, -0.0032629809112379015, 4165.047201931268, 2.437742640494327e6, 0.11546262354515135, 0.011752452728461617]
Period: 4166.2947774425975 log Prob: -99.71535092246485 Param: [3.145787664334736e-6, 224.7007589890878, 2.4335037653794163e6, -0.03196641400694062, 0.017028639799048458, 2.091163283954795e-6, 365.25640641346683, 2.4336244031758057e6, -0.017963287646401194, 0.008219239359951279, -0.003261022874926995, 4166.2947774425975, 2.437742814420461e6, 0.11542392142510138, 0.011778041101328962]
Period: 4167.542726645893 log Prob: -99.72911553116103 Param: [3.1447687514965305e-6, 224.70075899182385, 2.433503765379388e6, -0.031966828259090904, 0.0170681339622065, 2.091724123545185e-6, 365.2564062671285, 2.4336244031772073e6, -0.01795693920555113, 0.00824904594103188, -0.0032589799147191424, 4167.542726645893, 2.4377429735105434e6, 0.1153825332266854, 0.011809308907096428]
Period: 4168.7910496530785 log Prob: -99.7429102075483 Param: [3.143553693760755e-6, 224.7007590079734, 2.4335037653790526e6, -0.031988635735612905, 0.017133307197154064, 2.0922088219308864e-6, 365.25640612851083, 2.433624403178531e6, -0.01795746420960685, 0.0082949478224185, -0.003255011182519146, 4168.7910496530785, 2.4377431038248003e6, 0.11532525551867914, 0.011850604970389927]
Period: 4170.039746576126 log Prob: -99.75673340986859 Param: [3.1430927419727774e-6, 224.70075900324312, 2.433503765379229e6, -0.03195962122744808, 0.017167071210257363, 2.09270477037613e-6, 365.25640597637624, 2.433624403180031e6, -0.0179366112862206, 0.008322537385753025, -0.003254211839966815, 4170.039746576126, 2.437743335930037e6, 0.1153008526694587, 0.01187874953572409]
Period: 4171.2888175270355 log Prob: -99.77058384271442 Param: [3.1429052351882616e-6, 224.70075900065308, 2.4335037653792556e6, -0.03196452228810987, 0.01720287339290828, 2.092878135945473e-6, 365.25640580060553, 2.4336244031816935e6, -0.017929316772369572, 0.008349230819586186, -0.0032520572476685272, 4171.2888175270355, 2.437743474009698e6, 0.11525948191981567, 0.011889736402598772]
Period: 4172.538262617846 log Prob: -99.7844630838751 Param: [3.142184784045256e-6, 224.70075900512143, 2.4335037653791658e6, -0.03197045150314255, 0.017251451696064554, 2.0931278398287165e-6, 365.2564056450753, 2.4336244031831124e6, -0.01792708263753742, 0.008384574481455107, -0.003249291360183167, 4172.538262617846, 2.4377436373055275e6, 0.11521084084206118, 0.011917545138279001]
Period: 4173.788081960618 log Prob: -99.79836747933373 Param: [3.1405206025812393e-6, 224.7007589994192, 2.4335037653792636e6, -0.03196501992486456, 0.017296906353689953, 2.093994330797675e-6, 365.2564054709554, 2.433624403184767e6, -0.017918228503181942, 0.008415536329695187, -0.0032473464306246283, 4173.788081960618, 2.437743789585223e6, 0.11517475290370043, 0.011938409754338488]
Period: 4175.038275667455 log Prob: -99.81229735791146 Param: [3.140657816407459e-6, 224.7007590159537, 2.433503765379005e6, -0.03197344399737751, 0.017344861584133817, 2.0941595751472823e-6, 365.25640533407613, 2.433624403186176e6, -0.01790615492492428, 0.008455311107149574, -0.0032441037390820247, 4175.038275667455, 2.4377439677294795e6, 0.11513028476149671, 0.011979523106899486]
Period: 4176.288843850493 log Prob: -99.82625323488323 Param: [3.1393121793814634e-6, 224.7007590147061, 2.4335037653790326e6, -0.031969584005796005, 0.017392953073138755, 2.0946797979001236e-6, 365.2564051746216, 2.433624403187639e6, -0.017901124485127484, 0.008489903241227703, -0.00324191981080311, 4176.288843850493, 2.4377441326910076e6, 0.1150889419081783, 0.012007904634473208]
Period: 4177.539786621901 log Prob: -99.84023201502268 Param: [3.137958511056787e-6, 224.70075901804168, 2.433503765378945e6, -0.03197874347242105, 0.017448276217613103, 2.09524098138629e-6, 365.25640501043887, 2.4336244031891716e6, -0.017898963104364844, 0.008527866818913703, -0.0032388938037068806, 4177.539786621901, 2.43774426898582e6, 0.11504196888914141, 0.012037320460477471]
Period: 4178.791104093885 log Prob: -99.8542347538343 Param: [3.13791769904102e-6, 224.700759018127, 2.4335037653789967e6, -0.031966690927370596, 0.017489183725182437, 2.0955420335707494e-6, 365.2564048381937, 2.4336244031909043e6, -0.01787963236524068, 0.008560655500289078, -0.003236886647487752, 4178.791104093885, 2.4377444691246045e6, 0.11501276407804974, 0.012063512825927415]
