#body	ntrans	tt	tt0	ttv	noise	sigtt
1.0	39.0	2.4422670948850275e6	2.442267095828297e6	-0.0009432695806026459	0.0002436706001436365	0.00034722222222222224
1.0	40.0	2.4424917958174297e6	2.4424917966087046e6	-0.0007912749424576759	-5.0420312988644505e-5	0.00034722222222222224
1.0	41.0	2.4427164992495542e6	2.442716497389112e6	0.0018604421056807041	0.00022322794118899542	0.00034722222222222224
1.0	42.0	2.442941198366499e6	2.442941198169519e6	0.0001969798468053341	0.0006317182282600161	0.00034722222222222224
1.0	43.0	2.443165896765379e6	2.4431658989499267e6	-0.0021845479495823383	-0.00012752079577581747	0.00034722222222222224
1.0	44.0	2.4433906014092555e6	2.4433905997303342e6	0.0016789212822914124	0.0002626975595802968	0.00034722222222222224
1.0	45.0	2.443615302386184e6	2.443615300510742e6	0.0018754424527287483	3.021417133521262e-5	0.00034722222222222224
1.0	46.0	2.4438400015706266e6	2.4438400012911493e6	0.0002794773317873478	-0.00029555334302605097	0.00034722222222222224
1.0	47.0	2.4440647002488505e6	2.4440647020715564e6	-0.0018227058462798595	0.0003209159253408964	0.00034722222222222224
2.0	0.0	2.4336244055398586e6	2.433624402479904e6	0.003059954848140478	0.00017083072720405987	0.00034722222222222224
2.0	1.0	2.4339896593911364e6	2.4339896589251207e6	0.00046601565554738045	-7.850050392921178e-5	0.00034722222222222224
2.0	2.0	2.4343549160837065e6	2.434354915370338e6	0.0007133684121072292	-0.00046931959458622503	0.00034722222222222224
2.0	3.0	2.4347201704650996e6	2.434720171815555e6	-0.0013504554517567158	0.00010498802165464008	0.00034722222222222224
2.0	4.0	2.4350854296475095e6	2.435085428260772e6	0.0013867374509572983	0.0004254363577041323	0.00034722222222222224
2.0	5.0	2.435450686237002e6	2.4354506847059894e6	0.0015310123562812805	-0.00015902003120995861	0.00034722222222222224
2.0	6.0	2.4358159383376404e6	2.4358159411512064e6	-0.0028135660104453564	-0.00012803299664746978	0.00034722222222222224
2.0	7.0	2.4361811950673787e6	2.436181197596424e6	-0.0025290451012551785	-0.00020413523414395461	0.00034722222222222224
2.0	8.0	2.436546452419501e6	2.4365464540416407e6	-0.0016221399419009686	0.0003090724112330602	0.00034722222222222224
2.0	9.0	2.4369117087278697e6	2.4369117104868577e6	-0.0017589880153536797	8.31328435140722e-5	0.00034722222222222224
2.0	10.0	2.4372769679879225e6	2.437276966932075e6	0.0010558473877608776	-6.775234975836528e-5	0.00034722222222222224
2.0	11.0	2.4376422234826367e6	2.437642223377292e6	0.00010534469038248062	0.00022712728857531058	0.00034722222222222224
2.0	12.0	2.438007480904124e6	2.438007479822509e6	0.0010816152207553387	-0.0002840478961691738	0.00034722222222222224
2.0	13.0	2.4383727379282867e6	2.4383727362677264e6	0.0016605602577328682	-0.000573113565244856	0.00034722222222222224
2.0	14.0	2.4387379912301446e6	2.4387379927129433e6	-0.0014827987179160118	-0.00014339985185393784	0.00034722222222222224
2.0	15.0	2.439103249843738e6	2.4391032491581608e6	0.000685577280819416	9.476257479413825e-6	0.00034722222222222224
2.0	16.0	2.439468507345619e6	2.4394685056033777e6	0.0017422414384782314	0.00010333164496070842	0.00034722222222222224
2.0	17.0	2.4398337615193534e6	2.4398337620485947e6	-0.000529241282492876	2.4780337541276376e-5	0.00034722222222222224
2.0	18.0	2.440199017438031e6	2.440199018493812e6	-0.00105578126385808	-0.00031059669124844754	0.00034722222222222224
2.0	19.0	2.4405642704141e6	2.440564274939029e6	-0.004524928983300924	-0.000692622858031348	0.00034722222222222224
2.0	20.0	2.440929528961785e6	2.440929531384246e6	-0.0024224608205258846	-6.502945139651998e-5	0.00034722222222222224
2.0	21.0	2.4412947893881514e6	2.4412947878294634e6	0.0015586880035698414	-0.00020327888028415404	0.00034722222222222224
2.0	22.0	2.441660043832426e6	2.4416600442746803e6	-0.00044225435703992844	-0.000524098118124704	0.00034722222222222224
2.0	23.0	2.4420253032797915e6	2.4420253007198977e6	0.0025598937645554543	-3.764576335414525e-5	0.00034722222222222224
2.0	24.0	2.4423905601556427e6	2.4423905571651147e6	0.0029905280098319054	-0.00012899295974191894	0.00034722222222222224
2.0	25.0	2.442755814083019e6	2.4427558136103316e6	0.00047268718481063843	0.000419940018839634	0.00034722222222222224
2.0	26.0	2.443121070766781e6	2.443121070055549e6	0.0007112319581210613	-7.08368098037622e-5	0.00034722222222222224
2.0	27.0	2.4434863249186524e6	2.443486326500766e6	-0.0015821135602891445	4.334853616026453e-6	0.00034722222222222224
2.0	28.0	2.443851582744261e6	2.443851582945983e6	-0.0002017221413552761	4.881261297310843e-5	0.00034722222222222224
2.0	29.0	2.444216839925407e6	2.4442168393912003e6	0.0005342066287994385	-0.0003445806350972683	0.00034722222222222224
