ERROR: LoadError: DimensionMismatch("arrays could not be broadcast to a common size; got a dimension with lengths 15 and 20")
Stacktrace:
 [1] MCMC(::String, ::Array{Float64,1}, ::Float64, ::Int64, ::Int64, ::Int64, ::Array{Int64,1}, ::Array{Float64,1}, ::Array{Float64,1}, ::Array{Float64,1}, ::Bool, ::Bool) at ./broadcast.jl:490
 [2] run_mcmc() at ./util.jl:155
 [3] top-level scope at /Users/bethleelindor/work/washington/ttv_project/ttv_ss/full_run.jl:112
 [4] include at ./boot.jl:328 [inlined]
 [5] include_relative(::Module, ::String) at ./loading.jl:1105
 [6] include(::Module, ::String) at ./Base.jl:31
 [7] exec_options(::Base.JLOptions) at ./client.jl:287
 [8] _start() at ./client.jl:460
in expression starting at /Users/bethleelindor/work/washington/ttv_project/ttv_ss/full_run.jl:94
args = ["full", "30.0", "30", "pppp"]
Initial parameters: [3.0e-6, 224.70077409577533, 2.4335037654852555e6, 0.01, 0.01, 3.0e-6, 365.2564266571264, 2.433624402638408e6, 0.01, 0.01]
Initial chi-square: 812.3590456907988
Finished 2-planet fit: [2.647523303887924e-6, 224.70077626828143, 2.433503765488956e6, 0.002578811344086398, 0.010378328486752, 3.06449639023031e-6, 365.2564294664862, 2.4336244026185255e6, 0.01588865786247525, 0.009693381753353264]
New p2 chi-square: 585.5675125529058
Period: 3944.6999999999994 log Prob: -194.8995233562943 Param: [2.538592265744325e-6, 224.70078224069294, 2.433503765309388e6, -0.009014064652512364, 0.010732849407131087, 2.978287216900639e-6, 365.25647132939434, 2.4336244019415816e6, 0.006471263865622236, 0.010572181971540256, 0.0005291923668489568, 3944.6999999999994, 2.439000976317135e6, -0.019146040202725076, -0.058397261690515685]
Period: 3947.278835424837 log Prob: -194.68395533349647 Param: [2.5375789606e-6, 224.70078222102993, 2.433503765309613e6, -0.00901627785370305, 0.010788960604626412, 2.978424992401213e-6, 365.25647125870296, 2.4336244019420226e6, 0.006472928621728833, 0.010624276049549483, 0.000533176217256269, 3947.278835424837, 2.439000526401068e6, -0.01810396023683084, -0.05821069131729892]
Period: 3949.8593567553535 log Prob: -194.46982897806694 Param: [2.537561476179926e-6, 224.70078220487812, 2.4335037653097915e6, -0.008911436153960634, 0.01076678708376215, 2.9791630624974237e-6, 365.256471164979, 2.433624401942848e6, 0.006559206157100541, 0.01061178520206482, 0.0005355938969999857, 3949.8593567553535, 2.4429513020868124e6, -0.017632550382177765, -0.05790764441416191]
Period: 3952.4415650937126 log Prob: -194.2571752033289 Param: [2.5370317203216335e-6, 224.70078218899476, 2.433503765309956e6, -0.008866170803956923, 0.010741234776299803, 2.979542085739538e-6, 365.2564710809114, 2.433624401943507e6, 0.0065982495059593044, 0.010597213969290553, 0.0005385977316245604, 3952.4415650937126, 2.4429543332753526e6, -0.016995094296480297, -0.05766829779451128]
Period: 3955.025461542783 log Prob: -194.0460116990412 Param: [2.5363227580389736e-6, 224.70078216907154, 2.433503765310188e6, -0.008847893349898318, 0.010787033423260532, 2.979779454026571e-6, 365.25647098833696, 2.433624401944302e6, 0.0066154627190559805, 0.010640654393061293, 0.0005418788318447776, 3955.025461542783, 2.4390012372212e6, -0.016150593501841268, -0.05760498592748093]
Period: 3957.6110472061696 log Prob: -193.83636226930733 Param: [2.535566282082332e-6, 224.70078215444366, 2.4335037653103126e6, -0.008840042351515675, 0.010795042560557898, 2.9799677488881155e-6, 365.2564709016128, 2.433624401945008e6, 0.006624738260612261, 0.010653004094933813, 0.0005448973384882294, 3957.6110472061696, 2.4429589420988294e6, -0.015503193990803962, -0.057417263840141904]
Period: 3960.1983231881827 log Prob: -193.62823527612866 Param: [2.5356259170519636e-6, 224.70078213862905, 2.4335037653104775e6, -0.008731563564544527, 0.01076190184414762, 2.9807030586931004e-6, 365.25647080189844, 2.433624401945924e6, 0.006714624926556431, 0.010633072338286424, 0.0005472569904656996, 3960.1983231881827, 2.439001975394842e6, -0.015030706946885424, -0.05719114402988574]
Period: 3962.787290593871 log Prob: -193.42166916476035 Param: [2.535471580767052e-6, 224.7007821221158, 2.4335037653106586e6, -0.008639803143751236, 0.01072724112762708, 2.9813522923747288e-6, 365.2564707096563, 2.4336244019467123e6, 0.006790658959328256, 0.01061188900859295, 0.0005503396624934601, 3962.787290593871, 2.4429654423667784e6, -0.014387767664188249, -0.05691083700356593]
Period: 3965.377950528994 log Prob: -193.2166858145661 Param: [2.5344624936363126e-6, 224.70078210319318, 2.433503765310897e6, -0.008669025843940836, 0.010762151501604039, 2.981341494547503e-6, 365.256470606666, 2.433624401947698e6, 0.0067707646007073635, 0.010646963593707506, 0.0005536315778514102, 3965.377950528994, 2.439002197719149e6, -0.013621568736688003, -0.05678502148430807]
Period: 3967.970304100033 log Prob: -193.01329530979066 Param: [2.534719127558863e-6, 224.70078208738883, 2.4335037653110716e6, -0.008533546680169379, 0.010711573607937267, 2.9822207428439583e-6, 365.2564705022215, 2.433624401948675e6, 0.0068814043566687985, 0.010612267428828292, 0.0005557297025379903, 3967.970304100033, 2.4429711272187713e6, -0.01324608328824295, -0.05653831325790179]
Period: 3970.5643524142056 log Prob: -192.81151496250232 Param: [2.5342351875950043e-6, 224.7007820706238, 2.4335037653112453e6, -0.00849974263201377, 0.010725972916950412, 2.9825538537676035e-6, 365.25647040755297, 2.4336244019495184e6, 0.0069123967563666545, 0.010630504011351868, 0.0005587535209027016, 3970.5643524142056, 2.4390030878337645e6, -0.012613100697469615, -0.05639083087889344]
