mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
3.998862707677395e-6,224.70078091942614,3503.7687020570106,-0.0549892413295025,-0.05245140777035372,2.7359042757231703e-6,365.25648223209623,3624.4071816309956,-0.028403792308857412,-0.03943388256241852,0.00030302232113636323,4017.7500000000005,1415.7343688361482,-0.21713067880900117,0.025715225674801032,-75.682375583657
3.99869112239728e-6,224.7007809303842,3503.768702298096,-0.0548577770888136,-0.05257572984641594,2.7366467491208113e-6,365.25648229502235,3624.407182159435,-0.0283119111101882,-0.03953714517259429,0.0003062059221393094,4024.5353348304257,1407.9441679142747,-0.21416533391142897,0.02662710151515916,-75.4516876239377
3.9985057482252015e-6,224.70078093858228,3503.768702605592,-0.05472514236574516,-0.05269816163079131,2.737407987795284e-6,365.25648234424057,3624.407182898123,-0.028218274361815267,-0.039639407164370144,0.0003094931275498599,4031.332129002213,1400.096178042993,-0.21112189128671963,0.02751660621366762,-75.22992175742185
3.9982879028568025e-6,224.7007809437896,3503.7687029833323,-0.05459300726533201,-0.05281863630354152,2.738179382877004e-6,365.2564823793616,3624.4071838500563,-0.028124204204638948,-0.039740663371810495,0.0003128979160736779,4038.140401868356,1392.2487045309708,-0.2079862287575144,0.028401743033944306,-75.01712981090036
3.9980336501596e-6,224.70078094610187,3503.7687034298633,-0.05446166787001765,-0.052936794458054076,2.7389609968689973e-6,365.25648240086247,3624.4071850109776,-0.028029956009102703,-0.03984059892594828,0.0003164129813641701,4044.9601728145185,1384.3580623049988,-0.2047772321059596,0.029267858131104697,-74.8133506333225
3.997630781120024e-6,224.70078094521415,3503.768703951089,-0.05434198194193829,-0.05305534938868631,2.739692918089819e-6,365.25648240889177,3624.407186379407,-0.027944127032971847,-0.03994129534068443,0.0003200427985697616,4051.7914612591157,1376.5267746272946,-0.20149143310869255,0.03014513543253532,-74.61861057753077
3.997157648063748e-6,224.70078094106938,3503.76870454635,-0.05422660316049682,-0.05317260134200675,2.7404145306325147e-6,365.25648240300535,3624.4071879575336,-0.02786094674188553,-0.040041507619551664,0.00032378403385925245,4058.6342866533537,1368.7375652762953,-0.19813587497630158,0.031029039811470014,-74.43292413026391
3.996500002448333e-6,224.70078093351168,3503.768705218506,-0.054126505043764456,-0.05329088869128619,2.7410670813443293e-6,365.25648238387055,3624.4071897382078,-0.027789130829358834,-0.04014296668595462,0.00032762313325930407,4065.4886684812886,1361.0608680631085,-0.19472874807373758,0.031939485608465955,-74.25629458115712
3.995659854945034e-6,224.70078092251592,3503.7687059692093,-0.054041854692686235,-0.053409825048341554,2.741648429465174e-6,365.2564823516616,3624.4071917214787,-0.027728816370054688,-0.04024536983546577,0.0003315703632531211,4072.354626259882,1353.4554915874492,-0.19126784343147005,0.03286130655554544,-74.08871451664959
3.9945428159646405e-6,224.7007809076124,3503.7687068049313,-0.053981193841621436,-0.05353101159921455,2.7421142429763073e-6,365.2564823062433,3624.407193904665,-0.027686811226397032,-0.04034994520552875,0.000335623111592701,4079.2321795390603,1346.0767866867545,-0.18774938313776277,0.033840999860077374,-73.93016638449267
3.993099716861007e-6,224.7007808887245,3503.7687077274213,-0.05394913897249454,-0.05365454647170121,2.742441904074727e-6,365.2564822481581,3624.407196282381,-0.02766680046261916,-0.04045670393107377,0.0003397765180957559,4086.121347901755,1338.9316437478924,-0.1841846261038179,0.03487705136410596,-73.78062282064703
3.991266658673006e-6,224.70078086541028,3503.7687087455683,-0.05395201955520488,-0.05378075908575296,2.742595473070948e-6,365.25648217718077,3624.4071988578403,-0.027673789950641563,-0.04056589222249225,0.00034405712269376887,4093.0221509639814,1332.085564578759,-0.18054818883561388,0.03598422987323159,-73.64004688656408
3.988946840673448e-6,224.7007808375297,3503.768709859957,-0.05399967861437215,-0.05391262777811924,2.742522129314e-6,365.256482094191,3624.4072016194636,-0.027715691018565445,-0.04067972292460783,0.00034841236191646694,4099.93460837488,1325.6034208402646,-0.17688941871642055,0.03718210753259023,-73.50839184664666
3.98587842834527e-6,224.7007808040033,3503.7687110913016,-0.054115954786198905,-0.054052244547715754,2.742097882220951e-6,365.256481999277,3624.4072045662547,-0.02781138459310048,-0.040799659940635655,0.000352888099084808,4106.858739816774,1319.736331488267,-0.17315584568844686,0.03853415883422994,-73.38560051943155
3.9819945534747884e-6,224.70078076442772,3503.7687124472486,-0.05430721396699927,-0.0541982720710195,2.7412919180026085e-6,365.25648189287836,3624.407207693743,-0.027965940485536547,-0.04092460098453814,0.0003575001920307397,4113.794565005229,1314.5365399201978,-0.1693333187715644,0.040046558202518935,-73.271603957201
3.977056156054645e-6,224.70078071798687,3503.7687139411455,-0.05459751815641085,-0.05435567222363556,2.739975091169893e-6,365.2564817756456,3624.4072109943017,-0.028198568668329024,-0.04105818654820575,0.0003622040633976325,4120.742103689109,1310.1853989992462,-0.16545218500053346,0.04176819041207097,-73.16631898151836
3.970731524912987e-6,224.7007806631942,3503.7687156016873,-0.05501826933194134,-0.05452431987513067,2.7379872370879284e-6,365.25648164799924,3624.4072144660945,-0.028534167095688776,-0.04120006414026414,0.00036705376605851236,4127.701375650619,1306.9751868864375,-0.16144902932809166,0.043763994525504536,-73.06964461840333
3.962807812080081e-6,224.70078059899936,3503.7687174468438,-0.055591236492768335,-0.05470415150921769,2.73521748227768e-6,365.2564815106883,3624.407218101395,-0.028990119991586315,-0.04134992534216163,0.0003720462980480197,4134.672400705388,1305.0810304546997,-0.15731410485937133,0.046069741027413985,-72.98145704992866
3.952863730512055e-6,224.70078052341674,3503.7687195130884,-0.056358594808819294,-0.05489557919754049,2.7314517010959803e-6,365.25648136430624,3624.4072218983097,-0.02959997599521075,-0.04150767276946133,0.0003772076183580165,4141.655198702501,1304.8471202814899,-0.15300022599360158,0.048759833222550425,-72.90160477895505
3.94090944437825e-6,224.70078043600373,3503.768721806089,-0.05732430360579174,-0.05509173199986214,2.726675686134142e-6,365.2564812094676,3624.407225852354,-0.03036706475368069,-0.041667712711267416,0.0003825134883933526,4148.64978952457,1306.238805621472,-0.14852041866794682,0.051808813451216074,-72.82990757584712
3.92725613291336e-6,224.70078033704903,3503.768724320399,-0.05846423089732303,-0.05527960368346636,2.721020388330955e-6,365.2564810458956,3624.4072299720906,-0.03127236873705824,-0.04181993062690642,0.00038799005534152444,4155.656193087782,1308.9682291836164,-0.14386351249791401,0.05511798529157285,-72.76616662115582
3.9125626505515305e-6,224.7007802289841,3503.7687270069036,-0.059721182710254804,-0.05544915379429955,2.714787179069646e-6,365.25648087399287,3624.407234249444,-0.032270722145601095,-0.04195667467083054,0.0003935265654156894,4162.674429341966,1312.4307658602936,-0.13914785835435955,0.05852906822166566,-72.71019077648079
3.897599853403101e-6,224.70078011410362,3503.7687298238984,-0.061024384947368816,-0.0555882805319029,2.7083422864627047e-6,365.25648069245034,3624.407238697569,-0.033306005187804764,-0.04206905599427608,0.00039912932101374854,4169.704518270628,1315.9882745100972,-0.13440975733343316,0.061871025631668214,-72.66183065586407
3.883228764605937e-6,224.7007799958754,3503.7687327063827,-0.06229210681177501,-0.05569190158094878,2.7020976530166952e-6,365.25648050056196,3624.4072433149877,-0.03431342105129816,-0.042153755559711514,0.00040472335437839323,4176.746479891038,1318.9245880063677,-0.12976028528108538,0.06497624585414735,-72.62100068630201
3.869903828700726e-6,224.70077987661674,3503.7687356130064,-0.06347848387770474,-0.055762777573039476,2.6962829379362524e-6,365.25648029826,3624.40724809601,-0.03525652560179882,-0.04221339845028975,0.0004102608636372386,4183.800334254266,1320.8453235875565,-0.12527066958636257,0.06776229530934924,-72.58767986400677
3.857777578701344e-6,224.70077975701432,3503.768738532504,-0.06456604511535026,-0.055802510631863235,2.690978466234506e-6,365.25648008502446,3624.4072530410253,-0.03612138628675452,-0.042249510568156234,0.0004157670388690099,4190.8661014452455,1321.6779838472235,-0.12093590022005546,0.07022210182044887,-72.56189820255916
3.8468510490599405e-6,224.70077963800924,3503.768741447394,-0.06555174673805213,-0.055818851535327424,2.6861946720465474e-6,365.2564798617249,3624.407258134256,-0.03690552956248859,-0.042268182583842684,0.0004211869798537031,4197.943801582831,1321.4133929134207,-0.11679905617838984,0.07237411227376833,-72.54372069702302
3.83699332322261e-6,224.70077951925444,3503.7687443649206,-0.06644609361721597,-0.05581478903338077,2.6818739127354126e-6,365.2564796283008,3624.407263374224,-0.03761723422537876,-0.04227174465829229,0.00042654705160869875,4205.033454819857,1320.197198149057,-0.11283218269845942,0.07426220146724384,-72.5332345803523
3.828305138650002e-6,224.70077940153928,3503.7687472720263,-0.0672363537551571,-0.0557938072245235,2.6780768861423177e-6,365.25647938502885,3624.4072687540515,-0.038246319139527384,-0.04226317750662818,0.00043186071138490286,4212.135081343183,1317.962546792032,-0.10903690354768306,0.0758787466749815,-72.53054061519363
3.820555273335585e-6,224.70077928438772,3503.7687501770292,-0.0679439791494709,-0.05576033952505756,2.674691825902049e-6,365.25647913242767,3624.40727426685,-0.03880977841441174,-0.042245732043138216,0.0004371155950812795,4219.24870137377,1314.907101685637,-0.10540287124263265,0.07728160154655322,-72.53574749088094
3.8136957942397364e-6,224.70077916813855,3503.7687530739877,-0.06857211819634874,-0.05571669061694463,2.6717006343646097e-6,365.2564788714138,3624.40727989997,-0.039310060381163255,-0.042221208895433064,0.0004423105270755889,4226.374335166728,1311.0703736864134,-0.1019290034889819,0.07848783382629623,-72.54896815379192
3.807612157133716e-6,224.70077905248746,3503.7687559683677,-0.06913069279401499,-0.05566584109822848,2.669052819377472e-6,365.2564786021512,3624.407285650542,-0.039755000759894514,-0.04219189363036966,0.00044745672871251545,4233.512003011372,1306.5662639424816,-0.098595459013483,0.0795276000532594,-72.57031739895088
3.802315764407857e-6,224.70077893794664,3503.7687588507124,-0.06961754319312852,-0.0556077645999675,2.6667558544424254e-6,365.25647832543814,3624.4072915067645,-0.040142827907119004,-0.0421577961827764,0.0004525567129446922,4240.661725231285,5542.052694685983,-0.09540322796544226,0.08040724869809608,-72.59991001058029
3.797589366144777e-6,224.70077882383592,3503.768761732994,-0.07005402202120958,-0.05554547737792308,2.664703242105729e-6,365.2564780417536,3624.407297464332,-0.040490512432267256,-0.042121044331294745,0.0004576039921978308,4247.823522184376,1295.7206971328997,-0.09233449312939994,0.08117023194294533,-72.63785934755546
3.793496833965963e-6,224.70077871078058,3503.7687646042436,-0.07043238478764038,-0.055479774207621096,2.6629338966262878e-6,365.2564777516539,3624.4073035148363,-0.04079181896538623,-0.04208239989143882,0.0004626047087134074,4254.997414262921,1289.50380346919,-0.089391541101901,0.08180865280763225,-72.68427607148536
3.790015971767928e-6,224.7007785990093,3503.768767459226,-0.07075409667340425,-0.05541194297237064,2.6614394524505474e-6,365.2564774557433,3624.4073096485427,-0.04104789867351774,-0.04204286808021737,0.00046755775049472546,4262.183421893651,1282.774354199696,-0.08656944508807175,0.08233464479748931,-72.73926698005548
3.786943803749069e-6,224.70077848780585,3503.768770310804,-0.07103968015387363,-0.055342581205818926,2.660117645834097e-6,365.2564771545131,3624.407315862001,-0.04127503897505273,-0.04200264502842787,0.00047246287499291205,4269.381565537789,1275.6878916841245,-0.08384957368542734,0.08278344710002639,-72.80293386946379
3.7844039575392656e-6,224.7007783781881,3503.7687731400597,-0.07127557610999095,-0.05527270776910453,2.659034945459961e-6,365.2564768488595,3624.4073221412714,-0.04146240306987778,-0.0419627230823762,0.0004773171148854194,4276.591865691113,1268.1495572148228,-0.08124288882187035,0.08313863232529439,-72.87537239854122
3.782338313097511e-6,224.70077827028868,3503.7687759438586,-0.07146713612876454,-0.05520465327590668,2.658165389016936e-6,365.2564765393328,3624.4073284788215,-0.04161422264201867,-0.04192485938947815,0.00048210336238520534,4283.81434288402,1260.1989827374884,-0.07875134343787565,0.0834138385558043,-72.95667098688415
3.7806632715757668e-6,224.7007781636728,3503.768778730092,-0.07162310527798668,-0.05513572507071864,2.657464877680268e-6,365.25647622633215,3624.407334871225,-0.04173743522773955,-0.04188685051244909,0.0004868506431738074,4291.049017681567,1251.9153806315735,-0.07634993249058583,0.08362341093152602,-73.04690963922982
3.7794007013642187e-6,224.70077805890153,3503.7687814877117,-0.07174002165372849,-0.05506887576522354,2.6569533670073265e-6,365.25647591062216,3624.4073413069013,-0.041829247138214724,-0.04185106744515588,0.0004915421558204188,4298.295910683555,5541.573293699471,-0.07404748855429365,0.08376661814288253,-73.14615886535834
3.7784948110988524e-6,224.70077795604408,3503.7687842146274,-0.07182389365554169,-0.05500416107388778,2.656598225141695e-6,365.2564755928427,3624.4073477779843,-0.04189440739783326,-0.041817430312738595,0.000496166177199947,4305.555042524568,1234.3283937731276,-0.07184230223129051,0.08385623066092814,-73.25447853077041
3.7779524670984868e-6,224.70077785535048,3503.7687869061024,-0.07187340453315481,-0.05494178317427055,2.6564074147903805e-6,365.2564752738205,3624.407354273968,-0.04193184374307241,-0.04178614527845281,0.0005007347301162026,4312.826433874044,1225.0599959047854,-0.06972886695473199,0.08388964683341278,-73.37191687718638
3.7777137002312154e-6,224.70077775683745,3503.768789560778,-0.07189461418905724,-0.05488241350787384,2.656351410281481e-6,365.2564749538669,3624.4073607904593,-0.041946346585315285,-0.041757622820131124,0.0005052269601860972,4320.110105436322,1215.5230591214365,-0.06770690154897446,0.0838817097426862,-73.4985093131531
3.777844037692385e-6,224.700777660971,3503.7687921702272,-0.07188047325620998,-0.05482621123559795,2.6564646072065265e-6,365.256474633726,3624.4073673178996,-0.041932295340620554,-0.04173213892360315,0.0005096627457017021,4327.406077950715,1205.6612009946466,-0.06577283273741169,0.08381940639976995,-73.63427762347334
3.778297055623955e-6,224.70077756772463,3503.7687947338068,-0.0718353272071193,-0.05477268075479144,2.6567277414210606e-6,365.2564743138877,3624.407373849108,-0.04189312138784888,-0.04170922663664216,0.0005140397102445859,4334.71437219155,1195.5232981355075,-0.06392037589825948,0.08371419175442363,-73.77922898402171
3.7790478032408695e-6,224.70077747742664,3503.768797244833,-0.0717616983971736,-0.054723748975770654,2.6571272705049044e-6,365.25647399521347,3624.4073803735632,-0.04183078006146215,-0.04169033005627676,0.0005183382989215247,4342.035008968247,1185.1130055164138,-0.06215518481089107,0.08356962440683587,-73.93335514970707
3.78011033807417e-6,224.70077739010395,3503.768799702282,-0.07165804045294596,-0.05467768315703158,2.6576710699750026e-6,365.2564736780413,3624.4073868862915,-0.04174405403194965,-0.04167412562506207,0.000522578965392977,4349.368009125368,1174.4352479200636,-0.06046646320708,0.08338551549580958,-74.09663172455028
3.7814556810937778e-6,224.70077730605027,3503.7688021002205,-0.07152700842380809,-0.054636733938072425,2.658348302171669e-6,365.2564733631481,3624.40739337788,-0.04163502902252031,-0.041662346234729475,0.0005267411745338242,4356.71339354268,1163.4922102520577,-0.05886001262234139,0.08316476198030831,-74.26901758882998
3.7831146714498814e-6,224.70077722543968,3503.768804434663,-0.07136552897261492,-0.05459935880079677,2.6591722012897638e-6,365.25647305091326,3624.4073998425197,-0.04150124422192208,-0.04165381289589029,0.0005308396925663319,4364.071183135209,1152.2768019489324,-0.057328942843520775,0.08290586847536423,-74.45045444554958
3.7851055438633585e-6,224.70077714875674,3503.768806695846,-0.07117122003879334,-0.05456688939490463,2.660156929298071e-6,365.2564727421632,3624.4074062691484,-0.04134076108062304,-0.04164961011933584,0.0005348656976722847,4371.44139885331,5512.205502349664,-0.055877802803479114,0.08260587431043775,-74.6408663582801
3.7873315478933978e-6,224.70077707568498,3503.7688088888585,-0.07095419760120268,-0.054539544561825304,2.6612529011484544e-6,365.25647243720266,3624.407412654422,-0.04116162468022912,-0.041649721393199564,0.0005388048889366922,4378.824061682704,1129.0285244116594,-0.054501662862959384,0.08228056737602017,-74.84015958273105
3.7899189082131612e-6,224.70077700675085,3503.768811003584,-0.07070156736173538,-0.054515980481558306,2.662522736026491e-6,365.25647213643094,3624.4074189921503,-0.04095357937890928,-0.04165332711177747,0.0005426915871501094,4386.219192644571,1116.984636032598,-0.05319468412128712,0.0819110475899659,-75.04822244981592
3.7927730786976505e-6,224.700776941985,3503.7688130383326,-0.0704225597943957,-0.05449749225039143,2.6639248249197887e-6,365.2564718407169,3624.407425271438,-0.040723926210749016,-0.04166126081476058,0.0005464956825677388,4393.626812795583,1104.6940062651518,-0.05196063107156861,0.08151231011371948,-75.26492541148828
3.796005377881393e-6,224.7007768817419,3503.7688149861997,-0.0701061264827246,-0.05448372962961075,2.6655112227155383e-6,365.25647154997836,3624.4074314923528,-0.04046389381284205,-0.04167345436278429,0.0005502470743366596,4401.046943227977,1092.0763169966935,-0.050794025993528745,0.08106720249390247,-75.49012111814912
3.799601651462442e-6,224.70077682648648,3503.76881683727,-0.06975323490410446,-0.05447565213465574,2.6672796920269787e-6,365.2564712652181,3624.4074376415683,-0.04017419019562972,-0.041690613851256025,0.0005539239317848867,4408.4796050696095,1079.133840386202,-0.049702020678646416,0.08057951722069327,-75.72364476208742
3.803509173232619e-6,224.70077677580966,3503.768818598559,-0.06936986444993953,-0.05447177965389248,2.6692011215525056e-6,365.25647098643753,3624.4074437193935,-0.03985960744765969,-0.041711454853928805,0.0005575347666448698,4415.924819484025,1065.917725069811,-0.04867353075823395,0.08005793671303628,-75.96531432314784
3.8078480870079137e-6,224.700776730333,3503.768820257807,-0.06894351824978957,-0.05447259547986062,2.671338149718621e-6,365.25647071400357,3624.407449719911,-0.03951017802100564,-0.04173659984504029,0.0005611060603947692,4423.382607670493,1052.3320250051354,-0.04770821487944552,0.07948248686577442,-76.21493106941904
4.468035233655044e-6,224.70078079501795,3503.768740028547,-0.009970474885153445,-0.04379045172213753,3.0026388371986563e-6,365.2564695864437,3624.40746396959,0.007558005395252339,-0.03361222344769367,0.0005497924567421383,4430.852990864101,4925.739135980612,-0.07473134264710289,-0.023809145190245178,-76.46233373647704
4.473476074573339e-6,224.70078077732697,3503.768741019388,-0.009568172964695126,-0.043644406524792144,3.005281336117773e-6,365.25646928789365,3624.4074703021884,0.00789137868724977,-0.033513362007770595,0.0005534250481645183,4438.335990335797,4919.421269480993,-0.07348205112286745,-0.023729441958003125,-76.70287630402764
4.4787823095144525e-6,224.70078075955792,3503.7687420124,-0.00918216400384723,-0.04350485463790858,3.007820486486263e-6,365.2564689939112,3624.4074765837713,0.008211961611964658,-0.03341964868093808,0.0005569793672607077,4445.831627392446,4913.239323424188,-0.07227733177212728,-0.023623215654298837,-76.94991216642518
4.483838525661753e-6,224.70078074132093,3503.768743015781,-0.008819930842412787,-0.04337464870268734,3.010209472348943e-6,365.2564687055257,3624.407482801287,0.00851388936719097,-0.03333332041783209,0.0005604869787560618,4453.339923376902,4907.26754547827,-0.0711066144220798,-0.023476584331115557,-77.20329510462815
4.48879802635691e-6,224.70078072342,3503.7687440128943,-0.008470437953003833,-0.04324671683204006,3.0125177680441533e-6,365.25646842252434,3624.4074889583326,0.008805883972415827,-0.03324876100258853,0.0005639474874616011,4460.860899668068,4901.3825025354845,-0.06996643853523139,-0.023314087682946287,-77.46287209858882
