mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,tcos,tsin,dphi,lprob
3.611009508056088e-6,224.7007831506901,3503.7694288192183,-0.09317702063280629,-0.03510372011114684,2.5576060748706835e-6,365.7849892051743,3621.325821570086,-0.058009983713202574,-0.02533871834086783,0.0008429285503151574,4553.944439079473,1156.305488123259,0.02258246353508584,0.1041308149101674,3.083527705777514,236.4445239410894,0.0,-550.4667295607827
3.6130593711708663e-6,224.7007830886085,3503.7694297599464,-0.09295098363237708,-0.03487487528825244,2.5585617286310624e-6,365.7874336927379,3621.338531815167,-0.05782712481447494,-0.02514179632155568,0.0008473341581808369,4554.872291607666,1155.2387718980426,0.02309969693479634,0.10358447699168628,3.070818304641556,-241.77166349273614,0.03157379551346526,-675.9250283440808
3.3926655748871658e-6,224.70078053745073,3503.7694823276934,-0.10388186428208976,-0.05045436003971441,2.518536377500514e-6,365.2564053278962,3624.40506323489,-0.06701399011353629,-0.03808825134535711,0.0006595204736764887,4590.3997540512955,1120.7931600401455,-0.0006102536144109251,0.11530014987555953,0.004062266244333531,0.018346313864021403,0.06314759102693052,-237.642018367406
3.6205259904330565e-6,224.70078286751848,3503.7694330910253,-0.09212890926737939,-0.03407794471908883,2.562027785303474e-6,365.7960119835782,3621.3863804128346,-0.05716278092089885,-0.02445308834087151,0.0008633344065185443,4558.102923031806,1151.484956876472,0.024888654374871946,0.1016255588550109,3.0229707585321526,262.3772040018314,0.09472138654039577,-723.3175115578475
3.3931199586728554e-6,224.70078053045242,3503.769482455458,-0.10383188987871364,-0.050427734437191,2.5187567597215292e-6,365.25640526901066,3624.406186675966,-0.06697452212048696,-0.038067477040241826,0.000660020256843662,4590.568809888559,1120.4729958400071,-0.0005240476410928983,0.11521950937452899,0.002939034585632574,0.010484326363062485,0.12629518205386103,-211.81450768239299
3.6180708859290315e-6,224.70078294000137,3503.7694320025503,-0.09239883733721806,-0.034332697738970054,2.5608914810887117e-6,365.79324939743907,3621.3704722186485,-0.05738084791811315,-0.024673755047359885,0.0008580810617466449,4557.04335759652,1152.727890303844,0.024317462111447852,0.10226367164753972,3.038878913276919,-255.38856786055663,0.1578689775673263,-717.6354539313853
3.5951213242548226e-6,224.70078364613263,3503.7694212428873,-0.0949329555453935,-0.03699703662639791,2.5501442664030596e-6,365.76471432881897,3621.238232863794,-0.05943260106470861,-0.026955418390652488,0.0008088786714016841,4546.240428430621,1165.1543455587735,0.018203512203356455,0.10849011136609236,3.1711012374963734,-199.12227447136252,0.18944277308079155,-702.0874388630529
3.602174416807032e-6,224.700783421463,3503.769424689863,-0.09415239462548075,-0.03612921744515244,2.553467552272848e-6,365.7740676636346,3621.2744182070355,-0.05879954594033297,-0.026216910264314136,0.0008240027906431737,4549.814929085052,1161.0512452211042,0.020234612887728088,0.10652319406104577,3.134924653321042,-214.9882565217027,0.2210165685942568,-707.2497546359266
3.6181259762524293e-6,224.70078293820643,3503.7694320296932,-0.09239285187463464,-0.03432723087940967,2.5609165296825307e-6,365.79330952687314,3621.3707846336124,-0.057375988660480895,-0.024669026078247686,0.0008582012377236658,4557.072967931115,1152.6965795439528,0.024331143032763257,0.10224979420779014,3.038566514010649,-255.53332897834053,0.25259036410772207,-719.1395036008092
3.587252483150814e-6,224.70078390785545,3503.7694172154447,-0.09580595091173011,-0.03801771161615516,2.546419860705915e-6,365.7534038262108,3621.204927630464,-0.060142221839012515,-0.02781920796397891,0.0007919558527580546,4541.891708183719,1170.1527241835304,0.01575171394266247,0.11075640136467481,3.20439234765708,-182.35404325253705,0.2841641596211873,-704.085014956963
