mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,tcos,tsin,dphi,lprob
2.3945903920636907e-6,224.70077819356976,3503.768770004131,0.002403827119913877,-0.004351705077831068,3.0726413104810327e-6,365.2564686258152,3624.4074008789867,0.01574514523629978,-0.0007251260360981104,5.5220371431402175e-8,657.4500000000002,253.1155532883363,0.3329384079026882,0.5420416157012753,0.000918714429742533,4226.537474388227,575.6436614794037,0.03688625695363334,-0.047697440349199954,-1.2975498989476734e-5,-0.001767831205581923,2.306513154582317,-22.136415065234832
2.238213480702679e-6,224.70077619190468,3503.768804114402,0.0011667582264654123,-0.0063156141789144854,3.056953602357526e-6,365.2564705830045,3624.4073733611363,0.014415542693620638,-0.002475218532070614,4.136764321141337e-8,658.1500620598748,221.91562618630564,-0.9440542787754477,-0.25898517962242207,0.0009231172414276799,4198.875539604392,634.3718095605386,0.03460609909587938,-0.04799123334955654,-9.917538023864519e-5,-0.0018626210528875976,2.30370190155224,-21.583294894050717
2.283861466927444e-6,224.70077538986422,3503.7688132394487,0.0018681980346632787,-0.006158440943077554,3.059567705392262e-6,365.2564706014815,3624.4073711995593,0.014973985319063812,-0.002286468974531145,4.73714642940652e-8,658.8508695557333,214.9562183418682,-0.8651563735084269,-0.253153051475986,0.0009019585998360021,4194.7410487102825,637.5823228935652,0.03278308743778457,-0.049628111035262136,-0.00012041496847969494,-0.001853286167626124,2.301971034742422,-21.005258348303315
2.328044225803548e-6,224.70077455020132,3503.768821633569,0.0026646927226907174,-0.005962002074273324,3.062819386060141e-6,365.2564705005863,3624.4073704486595,0.015605261659175742,-0.0020622223647136445,5.395507951235252e-8,659.552423281326,206.5887437765302,-0.7887717228391863,-0.2517898260902631,0.000881050723579237,4190.7684243087815,640.2838400361592,0.03097090799952278,-0.051285477947583855,-0.00013612863340867816,-0.001846934637271326,2.300459360559514,-20.53994858980614
2.3682593660735047e-6,224.70077371718958,3503.768828278418,0.0035297217740472096,-0.005737881970897359,3.0665559466022557e-6,365.25647029307265,3624.4073710623957,0.01628611157588886,-0.0018165708639170553,6.12194193660141e-8,660.2547240312501,198.79902873920426,-0.7161970776164623,-0.24670108415682016,0.0008614535139212467,4187.084155519718,642.4204446460471,0.02925747405540051,-0.052888339046285524,-0.0001442423028260289,-0.0018443878789868846,2.299289971627877,-20.204332625333333
2.4030325999902526e-6,224.70077293880576,3503.7688320456145,0.004436062670315619,-0.00549739542073052,3.0706482814413355e-6,365.25646999477067,3624.4073729894058,0.016994907712293075,-0.0015630639967272254,6.914473631504517e-8,660.957772600947,191.93996782191732,-0.649105303730557,-0.23665781833680857,0.0008440315930586549,4183.897098902986,643.739025918421,0.027728414883408135,-0.05437110334714436,-0.00014326624176712698,-0.0018457034374455427,2.2985453870742165,-20.007484476906665
2.431694472314544e-6,224.70077226534684,3503.7688316701474,0.005351083236827366,-0.00525064065252973,3.0749215889704253e-6,365.256469626621,3624.4073760994443,0.017705992709538182,-0.001314361072729057,7.769649225847385e-8,661.6615697867059,186.37395798684645,-0.589153481727688,-0.2205702361970719,0.0008294687476781007,4181.336591126374,644.0434495797206,0.026451221534518142,-0.05568738336782381,-0.00013239857670096402,-0.0018503607651580711,2.2982592550231122,-19.952110333389808
2.4541321732138187e-6,224.70077174205886,3503.7688258790554,0.006233975293799938,-0.005007271460281267,3.079138598947806e-6,365.25646920442927,3624.4073803066176,0.01838736300155334,-0.0010814844780435132,8.695852088342856e-8,662.3661163856635,182.3014532677524,-0.5364344533433256,-0.19807908705444824,0.0008183603841427875,4179.491189863849,643.182678213689,0.025481601803723386,-0.056793634029907676,-0.00011160374748562245,-0.001857446283048933,2.2984179572632386,-20.037250066689364
2.4702506715467646e-6,224.7007714124282,3503.7688132642884,0.007030920953762092,-0.0047878492560080935,3.0829660241940654e-6,365.2564687517699,3624.4073853903155,0.01899630132326462,-0.0008829775341650819,9.684819579156793e-8,663.0714131958052,180.06315087358496,-0.4921441168336073,-0.16852304587579622,0.0008113149515590536,4178.284197308604,641.4015705732695,0.02484506158427734,-0.05764461246642588,-8.14579881131512e-5,-0.0018659582969169195,2.2989794754064374,-20.26119143282699
2.4795580103992188e-6,224.7007713210391,3503.7687921878223,0.007667522459523014,-0.004609232930406854,3.085916058934658e-6,365.25646828032774,3624.4073912642184,0.01947247205796348,-0.0007320660074985127,1.0755493338245587e-7,663.7774610159677,180.26220313067938,-0.45506691723575515,-0.1302580525407793,0.0008091461753200516,4177.548586003755,639.1840737173744,0.02455014220094709,-0.05815753519400462,-4.28894044376561e-5,-0.0018750495926197828,2.2998887018451906,-20.622907602295463
2.480711527048785e-6,224.70077152951652,3503.7687603955087,0.008037730483570937,-0.0045086654401873556,3.0873032999005526e-6,365.2564678098071,3624.4073977411344,0.019730180327348298,-0.0006563530849082188,1.1903200099645717e-7,664.4842606458363,183.58097865905785,-0.4239729405560425,-0.08152768291217216,0.0008131141126046376,4177.001203167388,637.4716071976742,0.024578341374918038,-0.05820458554081504,3.100358343280399e-6,-0.001884035258526064,2.301100466629824,-21.12082522360126
2.4727245007572767e-6,224.70077211669388,3503.768715090724,0.008043033247961032,-0.004511052692208537,3.086538425186527e-6,365.25646735714656,3624.4074046812293,0.01969157466103337,-0.0006727032562437032,1.309386321336119e-7,665.1918128859488,189.89738610414662,-0.39562182633516757,-0.023371609141231865,0.0008245465106064648,4176.556769671826,636.7698063502504,0.024911002143612124,-0.05767064538539072,5.5585302879660626e-5,-0.0018918261125715683,2.3025760776448565,-21.749611028996302
2.5025110512184453e-6,224.70078280097738,3503.768460096725,0.007895999911423649,-0.001072683387603302,3.0865188575163904e-6,365.2564661038701,3624.407429263882,0.019292493987043597,0.00182756763725862,5.587903913773126e-10,665.9001185376952,-10309.555446748065,-81.51150541470365,-51.42768321587131,0.0007184415699682129,4280.275737620352,433.83973344424595,0.02173606033123557,-0.05644095961569915,0.00032628108343966174,-0.0017341642458756131,2.3125379442133145,-22.348226873220604
2.4941629696099747e-6,224.70078419282814,3503.768365332913,0.009213719591137558,-0.0007411642786805529,3.0938234314342047e-6,365.2564664751846,3624.4074252559885,0.020323973808256145,0.0020596489035224655,5.533235881884404e-10,666.6091784033181,-13183.48911780863,-89.04887088512706,-61.72522711449154,0.0006735125687515056,4287.396202696915,417.292327109149,0.017055526905123745,-0.059353006898165736,0.00036999725260779075,-0.0017394833899829797,2.313151784773203,-22.01467451519505
