mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,tcos,tsin,dphi,lprob
1.985684719553727e-6,224.70079341665308,3503.7686102601992,-0.0883210122406304,-0.013027960699703581,2.5683064332222203e-6,365.25641222850805,3624.407876508502,-0.06087385345742792,-0.007897878812822728,2.5011853973340216e-9,657.4500000000002,1693.433646159106,-13.884991046488327,7.104232673508096,0.0007776341238531017,4572.189870323115,1304.8766977423504,0.02741742069623317,0.1166406686538801,0.00029775256040017356,-0.0013509557258587724,2.3297349326730497,-29.746302563317474
1.9691932871732195e-6,224.70079475053393,3503.7686018782338,-0.08629434956376747,-0.013296180244433253,2.5760830653469062e-6,365.25640787723853,3624.4079199900225,-0.059383107094966546,-0.008203403661109452,4.3092593211425063e-10,658.7839873697079,29.771109504368187,-103.20078381018303,-0.6658520148797143,0.0008096696431153448,4596.5706281450575,1270.4467387364905,0.029804455547563113,0.11465241409605176,0.00029039198979640107,-0.0013474467971713654,2.331555878210103,-29.16964818574061
1.9642334570274285e-6,224.70079865426717,3503.7685661878327,-0.07777972245592729,-0.018109426940726786,2.609200914195971e-6,365.25639730483886,3624.4080113838772,-0.05268389443340703,-0.012092114990726826,1.4476717047736995e-10,660.1206814430471,-82211.4823487071,-190.21767556259826,-391.7963762149029,0.0009346460877138278,4657.352230276863,1140.2295014887982,0.03184375003883567,0.09999228573974146,0.0002641753480070142,-0.0013295534462957404,2.336660826614708,-27.348719189886545
1.9524073578022377e-6,224.70080154013593,3503.768558036078,-0.07360605042321683,-0.019833398721418847,2.62254925679383e-6,365.2563834357698,3624.408146182666,-0.04957107478883768,-0.013316821307567195,8.752406692707749e-11,661.4600877120073,-164859.61504207252,-425.40482253143733,-783.470985352555,0.0010260842348021923,4744.548679245608,1017.2196355257722,0.03435253100667588,0.09613877831959035,0.00024097785017366017,-0.0013042307793409928,2.340154537633795,-25.206016967175437
1.95044462536124e-6,224.70080457222775,3503.76856472327,-0.06910882982066759,-0.02106245363353364,2.6367306025529778e-6,365.2563687186747,3624.408291100287,-0.04620104792789107,-0.014112839257962846,1.3184646635511914e-10,662.8022116797206,-124876.13884563463,-373.3988417666215,-592.3060033788838,0.001132783588152158,4837.360018641271,887.3193159874655,0.03719025355703166,0.09239410171416544,0.00019639032708393915,-0.0012749626468543992,2.342192826971805,-22.68670826809803
1.956833645474156e-6,224.70080745252997,3503.768596115727,-0.06366476742582945,-0.022086906655679656,2.6549968323805257e-6,365.2563544224078,3624.4084334637705,-0.04206406782830167,-0.014747992991685341,1.6634587116578729e-10,664.1470588604873,-110128.62339079354,-355.99052751119945,-521.2806455373344,0.0012655825363480332,4928.799618852256,751.6202923347875,0.040370693659984434,0.08714226584342409,0.0001288707921203655,-0.001248887420424711,2.342383258346237,-19.964651718201218
1.961159586359314e-6,224.70080995514888,3503.7686619832016,-0.057650741139045496,-0.022905123907081527,2.676542481558993e-6,365.25634124603357,3624.4085657890046,-0.03744756679583011,-0.015237126945732546,2.754238624800682e-10,665.4946347797944,-73795.31539453867,-234.02380348037178,-348.63327104372405,0.0014246845924929003,5014.398618251802,615.350899086234,0.04342221345210871,0.0806791383024752,4.62675514366297e-5,-0.001231989126040063,2.3407898836620338,-17.27275818705544
1.4758339396591302e-6,224.700693527231,3503.769638504374,-0.08489598124716502,0.01275008212220872,2.6133951535872055e-6,365.25636436534455,3624.4083238107255,-0.056452494297738985,0.01183904534889144,4.955451300619669e-7,666.8449449743407,433.5641613826611,-0.43586188645707163,0.0754436598445754,0.0008821639429508325,5216.300051951557,745.511535773746,0.05317778225580398,0.13484782199544507,-0.00022112733656468373,-0.0027612645839642743,2.2886462131599616,-14.620233177650631
1.884818383100839e-6,224.70082116759284,3503.7674294138233,-0.06330575228362122,-0.019187876572592657,2.6807456075460063e-6,365.2563615723982,3624.40836186735,-0.039926830607753,-0.011990112318366396,4.807787690774438e-7,668.1979949920594,559.4471712208149,-0.3313332928384404,0.006041793254335056,0.00118531426056537,5073.821556162789,621.613870817421,0.038565846075134795,0.08758110316237776,0.0006650003155059673,-0.0011111479270995972,2.323570717839483,-11.672049359018375
1.9016938104912687e-6,224.7008288531694,3503.7666902960696,-0.06114409008912572,-0.01851787992342451,2.6903749349409846e-6,365.25635657527516,3624.408421630084,-0.037646578745437885,-0.011442033573839128,5.434794586243633e-7,669.5537903921407,547.9094160540473,-0.35968889922108893,0.0038919074266128527,0.0012097919840340504,5187.221753611206,504.56228175163193,0.03950202032909589,0.08586055272995079,0.0007603310423917079,-0.0010941276827610626,2.3148198047270125,-4.77053598777207
