mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,tcos,tsin,dphi,lprob
2.3835477728711325e-6,224.70077506546988,3503.768808154694,0.004645774884941957,-0.003444819816111946,3.071952724565626e-6,365.2564502824995,3624.4075962838833,0.01670838383665842,-0.00047761500608827623,0.0008679359316317336,4248.96917783821,572.0778275709437,0.02476115349013237,-0.034888400370826536,8.89941910136833e-5,-0.0017687262684398459,2.25,-315.2246179115077
2.383589693841355e-6,224.70077506548313,3503.768808153796,0.004645849637026662,-0.003443210785588224,3.0719524528254733e-6,365.256450282024,3624.407596291821,0.016708453171464237,-0.00047631899029311535,0.0008679349696841136,4248.976571954772,572.0419182781632,0.024761580164577517,-0.03489096269562441,8.899152904046973e-5,-0.0017687094856887156,2.251212121212121,-314.08581389007213
2.3835808609098095e-6,224.70077506548137,3503.7688081540136,0.00464595458754689,-0.003442893737618469,3.0719532832362697e-6,365.25645028189734,3624.4075962938086,0.016708524075407172,-0.0004760620124613872,0.0008679394027092661,4248.97621788841,572.0427965267743,0.024762388192163438,-0.034890631201786634,8.899473166122085e-5,-0.0017687146239302692,2.2524242424242424,-312.9200753066044
2.383588619355966e-6,224.70077506549063,3503.7688081536885,0.004646061017641245,-0.003442834176760463,3.071953911747118e-6,365.25645028193435,3624.4075962934508,0.01670861349235209,-0.0004760259663537673,0.000867934321634057,4248.975992878676,572.0421164474552,0.024761725188399173,-0.03489089156107521,8.899275360098621e-5,-0.001768711525866323,2.2536363636363634,-311.72487517960974
2.383577438173244e-6,224.70077506546676,3503.7688081544106,0.004645782096873626,-0.0034436945871967354,3.0719523362437433e-6,365.25645028205906,3624.407596291137,0.016708401807851114,-0.0004767063024329058,0.0008679376250622834,4248.9747039146905,572.052498717001,0.024761739051694858,-0.03489004790627923,8.899098368845273e-5,-0.0017687140287607156,2.254848484848485,-310.50068473082
2.38356421578908e-6,224.70077506549978,3503.768808153814,0.004645638636014531,-0.0034444945598962142,3.0719518199751905e-6,365.25645028262517,3624.4075962823063,0.016708289270839855,-0.00047736303503373217,0.0008679325662179396,4248.968740083061,572.0743871343892,0.02476081044687698,-0.03488898265937663,8.899164898687242e-5,-0.0017687182499138464,2.256060606060606,-309.2467136533211
2.383577163779203e-6,224.70077506549242,3503.7688081537567,0.004645934197453838,-0.0034434828984156807,3.0719533160091967e-6,365.2564502822023,3624.407596288913,0.016708513210101843,-0.0004765457988390036,0.0008679339981097111,4248.972841238153,572.0556367015247,0.02476148015467702,-0.03489017653450122,8.899356553176558e-5,-0.0017687152029047545,2.2572727272727273,-307.96160377071163
2.383571071392455e-6,224.70077506550214,3503.768808153667,0.004645779379963112,-0.003443753925134274,3.0719524054919343e-6,365.2564502823963,3624.407596285954,0.016708392133186686,-0.0004767621202663863,0.0008679352481129761,4248.970946347005,572.0629632528033,0.024761499721129072,-0.03488963925777136,8.899385677953745e-5,-0.0017687170215213545,2.2584848484848483,-306.64588647529695
2.383587475517033e-6,224.7007750654964,3503.768808153593,0.004645728598400091,-0.0034432551464367326,3.071952104463096e-6,365.2564502821185,3624.4075962903657,0.016708367667717945,-0.0004763607078938657,0.0008679368022908908,4248.974303467234,572.0501633882856,0.024761811230010703,-0.03489038884973584,8.899086902267096e-5,-0.001768709412479016,2.2596969696969698,-305.2978495879788
2.383574162652003e-6,224.70077506547017,3503.7688081543774,0.004645781507945165,-0.0034436835288649066,3.0719523902453917e-6,365.2564502820811,3624.40759629079,0.01670840044902739,-0.00047669836974787116,0.0008679379881136195,4248.974236498468,572.0544699704947,0.02476179550389346,-0.03488988162382768,8.899175382313021e-5,-0.0017687156494740803,2.2609090909090908,-303.91863730532697
2.3835982039964376e-6,224.7007750654792,3503.768808153824,0.0046458232758171516,-0.0034430410269495953,3.0719523605971442e-6,365.25645028190195,3624.4075962939855,0.016708443329847698,-0.0004761861785339161,0.0008679336077144829,4248.977578404414,572.0379208636901,0.02476136599989188,-0.03489120250657812,8.898920730246496e-5,-0.001768705610992725,2.262121212121212,-302.50555610561065
