mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,tcos,tsin,dphi,lprob
2.4170273915746253e-6,224.70077893377723,3503.7687584328796,0.0019988765013048498,-0.0038924170235051206,3.068235109735123e-6,365.2564688921371,3624.4073973993095,0.015489841563909595,-0.0003619731705054341,5.6246102385819384e-8,657.4500000000002,244.81085516951214,0.36011561300006323,0.49324437441587166,0.0009203837080538838,4226.860737033209,570.2370808281509,0.037025774490522335,-0.04831295432765903,-7.782359985056112e-6,-0.0017540389349807348,2.3064614836445685,-172.3516017244288
2.2037964637171036e-6,224.7007761445431,3503.768806931674,0.0011707482194474226,-0.00607702217946371,3.056695399260001e-6,365.2564692747161,3624.407385087258,0.014480997433953782,-0.0022849548772504117,4.44997462899343e-8,658.1500620598748,207.27053840713359,-0.8767756851384724,-0.3198847931462843,0.000933578200858212,4198.684914555689,636.4226561326047,0.03625191951062943,-0.04686895666865561,-0.0001024177836267384,-0.00189110724823302,2.3039685258572624,-171.8223394033025
2.231261484022008e-6,224.70077496647707,3503.7688228980087,0.002101907390112042,-0.006074516876443438,3.061427477646374e-6,365.2564688470647,3624.407386375593,0.015231134829798692,-0.002226484706799135,5.153994934595416e-8,658.8508695557333,196.3199022516156,-0.804764872296314,-0.3312353398079367,0.0009137713299980537,4193.8022822581925,643.9077929109723,0.034914479221671936,-0.04797739021489582,-0.00012914751818150208,-0.0018971955188819467,2.302292260633925,-171.17452821878376
2.2607919221675462e-6,224.70077375274175,3503.768837904326,0.0031645352676194834,-0.006071882089503118,3.0669538016300223e-6,365.25646841546,3624.4073878235195,0.01608354189597059,-0.002160653042796698,5.8346186786186784e-8,659.552423281326,184.62443873932463,-0.7445526694522555,-0.3440199262638634,0.0008925666689630164,4188.9208162553205,651.2035484017517,0.03339822661016097,-0.04922320293443356,-0.00014985085995813789,-0.001904152288908339,2.300843690981456,-170.61446236484792
2.2904143626143313e-6,224.7007725865228,3503.768850192178,0.004315338114060455,-0.006062193447616864,3.073010453992228e-6,365.2564679926152,3624.407389565021,0.01700094612629426,-0.0020873305737253646,6.499745041183261e-8,660.2547240312501,173.69390902208147,-0.6902628404466528,-0.35188317001666913,0.0008714682633377799,4184.413381858458,657.5401891799908,0.03180687060131393,-0.05055137295799857,-0.00016141263934692907,-0.0019120796549221887,2.2997626153315047,-170.1852561871531
2.3187779996242168e-6,224.70077155797992,3503.7688578592147,0.005500673299802153,-0.006027680102426348,3.0792834977620477e-6,365.25646758449386,3624.40739180762,0.0179395053744916,-0.001998590301348035,7.163658644941841e-8,660.957772600947,825.2243124483749,-0.6388726799627652,-0.351767919335382,0.000851908459500418,4180.697268177223,661.9258873570079,0.030266902454948143,-0.051912692609194525,-0.0001614725557093653,-0.0019205242913201525,2.29914096502342,-169.91789024302395
2.345237901406774e-6,224.70077074407453,3503.7688592215954,0.006669022959996836,-0.005953232881289222,3.085494701215661e-6,365.2564671934856,3624.407394718478,0.018858942994188634,-0.001888956503212657,7.83695095115813e-8,661.6615697867059,156.4042511397109,-0.5897657847027072,-0.3435760173501154,0.0008349554009993221,4178.12668843079,663.4992421593095,0.028897425185611003,-0.053268731089300775,-0.00014898011561481533,-0.0019285916011822497,2.299005213011779,-169.82753083558373
2.36975115122785e-6,224.70077020206895,3503.768852879189,0.007773104204707589,-0.005826873547513519,3.0913829931948788e-6,365.2564668201843,3624.407398394229,0.019722778934062064,-0.0017545203885019423,8.529270042165387e-8,662.3661163856635,150.10983884268668,-0.5439533563957166,-0.3276443158242888,0.0008213354926836577,4176.918102070156,661.6560527032752,0.027796535459135924,-0.05459853191923221,-0.0001241837804596569,-0.0019351360789881772,2.2993223388441595,-169.91568345887566
2.3922752463991445e-6,224.7007699738661,3503.7688375851185,0.008753530893821254,-0.005649369185509737,3.096576454337778e-6,365.25646647084346,3624.407402765676,0.020483587840305878,-0.0015993027649616927,9.2562672877925e-8,663.0714131958052,145.84167504377797,-0.5033723462530653,-0.3027575033858326,0.0008116687290145046,4177.007128800648,656.4697300062987,0.02702823630022102,-0.055867130636333584,-8.831496671297139e-5,-0.0019390333119932417,2.300023822171013,-170.17644895300256
2.411734650904611e-6,224.7007700990308,3503.768811898921,0.009506474387499398,-0.00544344071990236,3.1003545013642504e-6,365.2564661575354,3624.4074076449288,0.021055574904579252,-0.0014405947875225837,1.0063300950551698e-7,663.7774610159677,145.1813464873664,-0.47020419249989975,-0.263698933237129,0.0008069784257114874,4177.9449055910845,649.0781434218281,0.026615165840389476,-0.056958450911500855,-4.317854033415702e-5,-0.0019396018486922285,2.3010298276349923,-170.60222480087182
