mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
2.542191688369707e-6,224.70078581028457,3503.7694787705786,-0.27814174284435733,-0.02685363823634409,1.961930418340147e-6,365.2564309069716,3624.40900194865,-0.20905818967473702,-0.026258473533551183,2.1881765680860335e-5,1826.2500000000005,1768.4605516454335,-0.09050114602273357,-0.5880932243290831,-140.74217195909577
2.5115345413508765e-6,224.70078576272627,3503.7694787044643,-0.26585689619119574,-0.028264951119895975,2.022048585930751e-6,365.25642897071936,3624.409017724011,-0.19947218967384578,-0.027168307275551664,2.766806769761588e-5,1835.3218903666532,1790.3340417290017,-0.0273272383449852,-0.4831677158803298,-140.64977291719438
2.470171030197077e-6,224.70078575113428,3503.7694791792246,-0.2572428253713977,-0.02913425861465935,2.0656263756950945e-6,365.25642681857477,3624.409035606091,-0.19281277142921321,-0.027692264754644143,3.156831474177286e-5,1844.438845316372,1790.6054915260975,-0.006661341522072836,-0.4281585700777521,-140.5780788842517
2.4323527540332644e-6,224.70078577939282,3503.769480061287,-0.2510032402836582,-0.029515481720948415,2.0934549055431452e-6,365.2564247910747,3624.409052839675,-0.18802086587540914,-0.02787113488899309,3.3217808916011185e-5,1853.6010887073126,1780.0529799243454,-0.0095975982480767,-0.4014362481725338,-140.53780978422483
2.409516991535185e-6,224.70078584172535,3503.769480936956,-0.24496858344808412,-0.029390404151723042,2.114339167151895e-6,365.25642304348173,3624.4090678124157,-0.18334864320996255,-0.027672854024447666,3.344624710067205e-5,1862.8088455096456,-97.21369073172704,-0.022624680441575548,-0.3871252930593058,-140.52256967073748
2.4026236993168523e-6,224.70078592511683,3503.7694815711984,-0.23818894969249435,-0.028890621598366317,2.1346593595363397e-6,365.25642158156387,3624.4090802187097,-0.17804041561277875,-0.0271889499522065,3.318349797071178e-5,1872.0623418110797,-121.23445008890944,-0.03799879255444901,-0.3763767782313018,-140.51933875437166
2.4069873531473005e-6,224.70078601976243,3503.7694818903246,-0.2307615534948024,-0.028161288642086404,2.1565954163426127e-6,365.25642036318203,3624.409090316024,-0.17218478329329093,-0.02653069677362508,3.299842893389896e-5,1881.361804822414,1737.3800074513476,-0.05200587680422301,-0.3652154245125087,-140.516549344355
2.4171632685601527e-6,224.70078612100798,3503.7694818893533,-0.2231377611249677,-0.027318777183596994,2.1801349147721573e-6,365.25641935106046,3624.409098476572,-0.16615207604866353,-0.025790402369206655,3.31950181026768e-5,1890.7074628831158,1726.0440779668304,-0.06306425262993848,-0.3519072018646937,-140.5058975932912
2.428156880742987e-6,224.70078622621918,3503.7694815994832,-0.2158599864819709,-0.02643197834391343,2.2042679440711702e-6,365.25641852269956,3624.4091050466454,-0.1603816520423171,-0.025024741145301125,3.394233108986516e-5,1900.09954546693,3617.244791921803,-0.07050099477004544,-0.3357824496760526,-140.48151081934435
2.435739811576466e-6,224.70078633220774,3503.76948108138,-0.20945418071712585,-0.0255377676054001,2.2276068450944537e-6,365.2564178691576,3624.4091103086926,-0.15529521162934587,-0.024264660540809793,3.533519550093831e-5,1909.5382831875065,1710.4340565016266,-0.07402848462762207,-0.3169952676163414,-140.43900610296956
