mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
2.1168345991312427e-6,224.70079363993182,3503.7653508874687,-0.009608973372894273,0.0023119224951935907,2.9397903945729093e-6,365.2564416416004,3624.4025435699564,0.001679902098656713,0.0014228328483660863,6.62364744008094e-5,1826.2500000000005,703.944959360557,0.06481392931337157,0.05823330260056796,-57.40160863599708
2.070946571152814e-6,224.70079366805027,3503.76535003294,-0.003843496605347564,0.004388310672612972,2.9887444607567284e-6,365.256441283884,3624.402546274462,0.0063192830263609015,0.0032026500229318275,6.924125526129914e-5,1836.3599953010134,666.8304305034289,0.06976320634976259,0.05273411693401378,-57.29247366532149
2.009453716433355e-6,224.7007937083122,3503.765349224338,-0.0009156947728970665,0.006680555485537283,3.0183742513308325e-6,365.2564409809903,3624.4025488126395,0.008692351970935683,0.005165282752490165,7.112256795872774e-5,1846.5259588456875,629.1440065677128,0.0706956176690735,0.04854260836025773,-57.191533959442395
1.940025063920907e-6,224.7007937598563,3503.7653485862334,-0.001029760309486155,0.008722039654886911,3.0251271000073032e-6,365.25644078076346,3624.4025512132985,0.00863218562289122,0.006933827909377409,7.174737335582854e-5,1856.7482004703984,590.7103985550862,0.06741279546868593,0.04516317950090288,-57.10518726877885
1.8718908078039537e-6,224.70079382148293,3503.7653481177877,-0.0035131977170497525,0.010256866263283315,3.0131638597017893e-6,365.25644068459974,3624.402553512199,0.006674833161576393,0.008296020707371465,7.159549345585443e-5,1867.027031726754,551.3272065590977,0.06116652832332174,0.04186362223468645,-57.03356739496356
1.8104607258354275e-6,224.70079389133005,3503.7653477599724,-0.0074952835854755024,0.011231969123847248,2.989127860130875e-6,365.2564406472985,3624.4025559012357,0.003516918667393755,0.00920363756344087,7.122875290610186e-5,1877.3627658910916,2388.188992018604,0.05345030614128998,0.03821575279829187,-56.97269289963707
1.7577758512789613e-6,224.70079396674524,3503.765347469616,-0.012277524391980285,0.011673812287772605,2.9585809645766663e-6,365.25644060117526,3624.402558738821,-0.0002811567347691611,0.00967511492558546,7.102883979073481e-5,1887.755717974024,469.1079448343085,0.04545694169207,0.034117152912241995,-56.91804175097321
1.7141879561318478e-6,224.70079404453466,3503.765347238756,-0.017389418080631814,0.011618414589927524,2.9252375395418896e-6,365.25644048139526,3624.402562421183,-0.0043409413444170045,0.00973856023198233,7.119419916867187e-5,1898.206204730042,426.12546823602315,0.03800522304086575,0.029635113817014377,-56.86633962163081
1.6796814640749854e-6,224.70079412223464,3503.765347070425,-0.022485115308934676,0.011109204100227447,2.8916767952818845e-6,365.2564402309438,3624.4025673255105,-0.008383067259524231,0.009428460235110533,7.181829633426489e-5,1908.7145446671666,2290.730904606593,0.03169481473475958,0.024972752615940272,-56.81592493625278
1.6541458947245706e-6,224.70079419891502,3503.7653469580896,-0.027226379465463635,0.010200352347354445,2.8602959624854853e-6,365.25643980881557,3624.4025737304864,-0.012133195879372968,0.008787673350218425,7.291400945387335e-5,1919.2810580566586,2256.688614403446,0.026932210014308615,0.02052262750865668,-56.76665053810329
1.6370390678621359e-6,224.70079427582291,3503.7653468691965,-0.0312582311094573,0.009021808553343943,2.833560865923006e-6,365.25643920608144,3624.402581683401,-0.015303694112427895,0.007918792250185198,7.440910005513194e-5,1929.9060669427781,2223.5452432776206,0.023851892634167055,0.016905988379405115,-56.71969478752464
