# body	tt0	tt	sigtt
1.0	2.433503765604529e6	3503.764224029146	0.00034722222222222224
1.0	2.433728466373964e6	3728.4656049720943	0.00034722222222222224
1.0	2.433953167143399e6	3953.1686621587723	0.00034722222222222224
1.0	2.434177867912834e6	4177.867301510647	0.00034722222222222224
1.0	2.434402568682269e6	4402.567253282759	0.00034722222222222224
1.0	2.434627269451704e6	4627.271017101128	0.00034722222222222224
1.0	2.434851970221139e6	4851.972264551558	0.00034722222222222224
1.0	2.435076670990574e6	5076.6718840496615	0.00034722222222222224
1.0	2.435301371760009e6	5301.368919920176	0.00034722222222222224
1.0	2.435526072529444e6	5526.070207372308	0.00034722222222222224
1.0	2.435750773298879e6	5750.775374561548	0.00034722222222222224
1.0	2.435975474068314e6	5975.474777304567	0.00034722222222222224
1.0	2.436200174837749e6	6200.173253855202	0.00034722222222222224
1.0	2.436424875607184e6	6424.8743387782015	0.00034722222222222224
1.0	2.436649576376619e6	6649.575427175034	0.00034722222222222224
1.0	2.436874277146054e6	6874.278088153806	0.00034722222222222224
1.0	2.437098977915489e6	7098.977772596758	0.00034722222222222224
1.0	2.437323678684924e6	7323.676346334629	0.00034722222222222224
1.0	2.437548379454359e6	7548.381905753631	0.00034722222222222224
1.0	2.437773080223794e6	7773.082766183652	0.00034722222222222224
1.0	2.437997780993229e6	7997.782220319379	0.00034722222222222224
1.0	2.438222481762664e6	8222.480898274109	0.00034722222222222224
1.0	2.438447182532099e6	8447.180671390612	0.00034722222222222224
1.0	2.4386718833015338e6	8671.885776253417	0.00034722222222222224
1.0	2.438896584070969e6	8896.584212339018	0.00034722222222222224
1.0	2.439121284840404e6	9121.284355890006	0.00034722222222222224
1.0	2.4393459856098387e6	9345.98403068399	0.00034722222222222224
1.0	2.439570686379274e6	9570.68560814578	0.00034722222222222224
1.0	2.439795387148709e6	9795.38883872563	0.00034722222222222224
1.0	2.4400200879181437e6	10020.087409854867	0.00034722222222222224
1.0	2.440244788687579e6	10244.786651402712	0.00034722222222222224
1.0	2.440469489457014e6	10469.490917618386	0.00034722222222222224
1.0	2.440694190226449e6	10694.19223485561	0.00034722222222222224
1.0	2.440918890995884e6	10918.891763700172	0.00034722222222222224
1.0	2.441143591765319e6	11143.589413591195	0.00034722222222222224
1.0	2.441368292534754e6	11368.289887755644	0.00034722222222222224
1.0	2.441592993304189e6	11592.995913594496	0.00034722222222222224
1.0	2.441817694073624e6	11817.695858804043	0.00034722222222222224
1.0	2.442042394843059e6	12042.394116070587	0.00034722222222222224
1.0	2.442267095612494e6	12267.094862877857	0.00034722222222222224
1.0	2.442491796381929e6	12491.796497861855	0.00034722222222222224
1.0	2.442716497151364e6	12716.498897098936	0.00034722222222222224
1.0	2.442941197920799e6	12941.197995771188	0.00034722222222222224
1.0	2.443165898690234e6	13165.896921406966	0.00034722222222222224
1.0	2.443390599459669e6	13390.600849297829	0.00034722222222222224
1.0	2.443615300229104e6	13615.302675179671	0.00034722222222222224
1.0	2.443840000998539e6	13840.002424227074	0.00034722222222222224
1.0	2.444064701767974e6	14064.700097058434	0.00034722222222222224
1.0	2.4442894025374088e6	14289.399724496994	0.00034722222222222224
2.0	2.4336244027157156e6	3624.404896995984	0.00034722222222222224
2.0	2.433989659142787e6	3989.659571913071	0.00034722222222222224
2.0	2.434354915569858e6	4354.916975750588	0.00034722222222222224
2.0	2.4347201719969297e6	4720.1701983790845	0.00034722222222222224
2.0	2.4350854284240007e6	5085.429091327358	0.00034722222222222224
2.0	2.4354506848510723e6	5450.686189174186	0.00034722222222222224
2.0	2.4358159412781433e6	5815.9387720339	0.00034722222222222224
2.0	2.436181197705215e6	6181.19535193406	0.00034722222222222224
2.0	2.4365464541322864e6	6546.452039964031	0.00034722222222222224
2.0	2.4369117105593574e6	6911.708869152237	0.00034722222222222224
2.0	2.437276966986429e6	7276.967768914532	0.00034722222222222224
2.0	2.4376422234135e6	7642.222679683473	0.00034722222222222224
2.0	2.4380074798405715e6	8007.481042059604	0.00034722222222222224
2.0	2.4383727362676426e6	8372.738508163951	0.00034722222222222224
2.0	2.438737992694714e6	8737.991474163719	0.00034722222222222224
2.0	2.439103249121785e6	9103.249856329523	0.00034722222222222224
2.0	2.4394685055488567e6	9468.506928978488	0.00034722222222222224
2.0	2.439833761975928e6	9833.760799237993	0.00034722222222222224
2.0	2.4401990184029993e6	10199.017680885736	0.00034722222222222224
2.0	2.440564274830071e6	10564.27090073144	0.00034722222222222224
2.0	2.440929531257142e6	10929.528500004206	0.00034722222222222224
2.0	2.4412947876842134e6	11294.789551071823	0.00034722222222222224
2.0	2.4416600441112844e6	11660.044224819168	0.00034722222222222224
2.0	2.442025300538356e6	12025.30373466527	0.00034722222222222224
2.0	2.4423905569654275e6	12390.560211085714	0.00034722222222222224
2.0	2.4427558133924985e6	12755.813664701302	0.00034722222222222224
2.0	2.44312106981957e6	13121.070883717854	0.00034722222222222224
2.0	2.443486326246641e6	13486.324567024596	0.00034722222222222224
2.0	2.4438515826737126e6	13851.582293965388	0.00034722222222222224
2.0	2.4442168391007837e6	14216.840743516572	0.00034722222222222224
2.0	2.444582095527855e6	14582.092215860263	0.00034722222222222224
