mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,lprob
2.6763527329948906e-6,224.7007741709693,3503.765496003574,0.054907795311201726,-0.026428801195720476,3.5008804926025383e-6,365.256447228306,3624.4024930729424,0.055458328229109864,-0.021052699181853995,3.063984315153639e-8,1826.2500000000005,73536.9844975111,142.43550101361268,123.8602716860794,-245.6289482553738
2.5425935375583092e-6,224.70077415067038,3503.765498097474,0.04282727868886165,-0.02281517987848002,3.4390488848962023e-6,365.25644713002123,3624.402489705974,0.04583665302871889,-0.018375661064124447,4.282775581827365e-5,1831.6804633299885,676.8026671953959,0.13879013133242754,-0.06727857655377205,-245.48857036492342
2.4917291002383274e-6,224.70077411402727,3503.7654988732734,0.043122758053781636,-0.02440531683165912,3.4454947070469403e-6,365.2564474987795,3624.4024836295557,0.045952788521363565,-0.01959488141340343,4.496263977770589e-5,1837.1270744666722,653.3272519692497,0.13934344092402992,-0.06955635681298802,-245.34595754072922
2.4339508736331947e-6,224.70077407504672,3503.7654998182998,0.042316674785072166,-0.025730375486687124,3.443308975908045e-6,365.25644771422606,3624.40247927115,0.04518344475611857,-0.020579695037655613,4.454930144650214e-5,1842.5898814265186,628.9329236130027,0.1346569707031255,-0.07517742387122181,-245.23386624846867
2.377936629964006e-6,224.70077404200086,3503.7655006428577,0.04099902427433167,-0.0265522329956452,3.4369003261297614e-6,365.2564478052671,3624.402476319179,0.04401438042394211,-0.021157509724085092,4.2727188006899246e-5,1848.0689323687736,604.0179364919627,0.1263690541666647,-0.08279075940079085,-245.14843048784246
2.3275229125202026e-6,224.7007740173804,3503.765501224576,0.039675530191554245,-0.026905702383882773,3.430258058798728e-6,365.2564478151233,3624.402474326564,0.04285468977225037,-0.02136618045671187,4.045490400632867e-5,1853.5642755958886,579.1186772551479,0.11585570075302426,-0.09122356102623998,-245.080298790098
2.2828153294642067e-6,224.70077400137683,3503.765501549036,0.038526490875158165,-0.02690343809211845,3.424889223945014e-6,365.2564477743982,3624.402473000984,0.04184846523212864,-0.021299292411094833,3.825790804582375e-5,1859.0759595539444,554.820589297288,0.10396681401744376,-0.09947203462747951,-245.02155540538305
2.242931593658637e-6,224.70077399294792,3503.7655016540043,0.03757363464518041,-0.026640440993391787,3.4210253982097977e-6,365.2564476989302,3624.4024722105933,0.04101151149826378,-0.02103319258985988,3.636751587063452e-5,1864.604032833079,531.5580701772001,0.0913829014742268,-0.1067704940090237,-244.9671269742172
2.2067307023245e-6,224.70077399094473,3503.7655015880614,0.0367518457138087,-0.026184809485635036,3.418204575224677e-6,365.2564475972702,3624.402471884156,0.04028977118749226,-0.020621553149771602,3.4866409638786665e-5,1870.1485441679188,509.660982104949,0.07863861356249399,-0.11256811619825607,-244.9140480798496
2.173256773493069e-6,224.70077399416533,3503.765501400746,0.03597583215369727,-0.025580530043013416,3.4157716491144417e-6,365.2564474740267,3624.4024719715217,0.0396130324375074,-0.020098356836906146,3.377384305148243e-5,1875.709542437999,489.225690061179,0.06630319160696231,-0.11658577618914452,-244.86056306039845
