mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,mu_5,P_5,t05,ecos5,esin5,lprob
2.3029632746417534e-6,224.70077924135163,3503.765409593274,-0.00015150251356092445,-0.0016296892624892325,3.0335637393053214e-6,365.2564568317558,3624.402101788262,0.012996514785380052,0.0015331524096532864,4.686686961481364e-7,690.662369213858,365.11980062859385,0.006257704003628105,-0.058998097283282425,0.001071465064459517,4302.187389682242,4759.144386685993,0.03543808711178301,-0.030351335293114002,0.001071465064459517,4302.187389682242,4759.144386685993,0.03543808711178301,-0.030351335293114002,-98.40819457601076
2.3029652615351634e-6,224.7007792532533,3503.7654093009455,-0.00014937754051936258,-0.001634807732326862,3.033563027241587e-6,365.25645685041775,3624.4021012787266,0.012998193315305738,0.0015290701448388896,4.6897874920154034e-7,690.6704967194678,365.038127773507,0.006275070474040404,-0.05892489551462978,0.001071348062652845,4302.19086742163,4759.133254330131,0.03543082962574179,-0.030377153122770496,0.001071348062652845,4302.19086742163,4759.133254330131,0.03543082962574179,-0.030377153122770496,-98.40834113073235
2.302972780892088e-6,224.70077926503126,3503.76540901219,-0.0001467645987303538,-0.0016398208884845936,3.03356573021694e-6,365.25645686945415,3624.402100762526,0.01300027514736503,0.0015250473697853142,4.6927769753794447e-7,690.6788646086646,364.9527764780392,0.006295300958032536,-0.05885066550286483,0.0010712204465287674,4302.194177612355,4759.121798962507,0.035423065599708516,-0.030403237270403078,0.0010712204465287674,4302.194177612355,4759.121798962507,0.035423065599708516,-0.030403237270403078,-98.40856585230893
2.302981511152387e-6,224.7007792768656,3503.765408720571,-0.0001440169643041782,-0.0016446384280871483,3.0335686684443953e-6,365.2564568884887,3624.4021002520076,0.013002419342850501,0.001521168052361005,4.6958203832884835e-7,690.6867926170771,364.87242654084895,0.006314943846550742,-0.058779152999613074,0.0010710902906999223,4302.198621670927,4759.106487792475,0.035414897834840225,-0.030429673585348586,0.0010710902906999223,4302.198621670927,4759.106487792475,0.035414897834840225,-0.030429673585348586,-98.40886817923975
2.3029828781394887e-6,224.7007792887887,3503.76540842857,-0.00014190818449577746,-0.0016495023474421167,3.0335679699079937e-6,365.2564569079932,3624.402099731278,0.013004089863722737,0.0015172974042408855,4.6987104093526945e-7,690.6953102693757,364.786031771664,0.006331129325351423,-0.05870774557560381,0.001070972248825425,4302.200881637956,4759.094337286819,0.03540803600051149,-0.03045539772744247,0.001070972248825425,4302.200881637956,4759.094337286819,0.03540803600051149,-0.03045539772744247,-98.40924765282129
2.3029907902933687e-6,224.70077930056996,3503.7654081382852,-0.0001391344700000619,-0.001654620783993765,3.0335715470430296e-6,365.25645692708,3624.4020992184523,0.013006278577193584,0.0015131842065192788,4.7017252936104355e-7,690.7034826479994,364.7027601822597,0.006350372560384571,-0.05863385314295211,0.001070840029192919,4302.203883444909,4759.084382464222,0.03539991625109495,-0.030481451429100515,0.001070840029192919,4302.203883444909,4759.084382464222,0.03539991625109495,-0.030481451429100515,-98.40970365685237
2.302993860518158e-6,224.70077931227115,3503.765407850459,-0.00013671144620317703,-0.001659971064655583,3.033572873851988e-6,365.25645694750955,3624.402098694541,0.013008189776385973,0.0015089228117697953,4.704359570435833e-7,690.7118371167409,364.61662000642485,0.00636719965208705,-0.058567031710064624,0.0010707158051276656,4302.207820307769,4759.073975014646,0.03539233941749413,-0.030507409471113925,0.0010707158051276656,4302.207820307769,4759.073975014646,0.03539233941749413,-0.030507409471113925,-98.41023567899987
2.302996686787416e-6,224.7007793240414,3503.7654075618484,-0.00013413916325897944,-0.0016650344929244774,3.033575152966667e-6,365.2564569683787,3624.402098162947,0.013010214264752937,0.0015048837941016384,4.7070417742651085e-7,690.7203530447371,364.5289088598775,0.006382581962995727,-0.05850021319765348,0.0010705877054561705,4302.211034640443,4759.062487663783,0.03538491445739077,-0.03053314793248867,0.0010705877054561705,4302.211034640443,4759.062487663783,0.03538491445739077,-0.03053314793248867,-98.41084313432653
2.3030013641782874e-6,224.70077933572603,3503.765407272857,-0.00013174614866570732,-0.0016702825982272595,3.0335761861545423e-6,365.2564569873173,3624.402097658515,0.013012090329046811,0.0015006999599301786,4.709828983022687e-7,690.7285376835079,364.4464623048953,0.006398486702157025,-0.05842981321794758,0.0010704656485498352,4302.214158068046,4759.0524295928735,0.035377321898155276,-0.030559161228100512,0.0010704656485498352,4302.214158068046,4759.0524295928735,0.035377321898155276,-0.030559161228100512,-98.4115254615052
2.3030069328558217e-6,224.70077934771157,3503.7654069795135,-0.00012890162395228077,-0.0016751765187780659,3.0335804093765223e-6,365.25645700795815,3624.40209712346,0.013014345944485394,0.0014967634818495636,4.712628211346673e-7,690.7372159997575,364.3565403115581,0.006416926271552363,-0.05835914959372071,0.0010703309352661221,4302.216014727083,4759.0420743205805,0.03536977265865998,-0.03058465057386927,0.0010703309352661221,4302.216014727083,4759.0420743205805,0.03536977265865998,-0.03058465057386927,-98.41228214866905
