mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin,lprob
2.4469118719676168e-6,224.70077993932838,3503.765354541123,-0.005817934975086965,0.007073132455412258,2.991430534478434e-6,365.25644986863415,3624.402239259977,0.008636815462445725,0.008755872864060035,2.188334070719982e-8,584.4,279.58593958977343,-0.20820008337809615,-0.06507195283011377,0.0008552206698470308,4242.088635080088,497.79779885575124,0.026847350321918567,-0.04455520344034039,-180.716351760877
2.4468157026639735e-6,224.70078089345867,3503.765329406983,-0.011952110839752032,0.007208674220128462,2.9687554220186455e-6,365.2564575542332,3624.402110823978,0.004389159455741387,0.00862854973281506,3.1677438985870204e-8,594.2775122289885,564.9615531903695,0.08725094609044692,-0.414614990768225,0.0008220171532630317,4166.783073360216,730.6683688307551,0.015485627824385284,-0.03969769602276148,-177.27346223495383
2.5607185864883117e-6,224.70078030054802,3503.765341347004,0.002884095941431949,0.009947571835501724,3.0621939794298946e-6,365.2564134025293,3624.4028213260717,0.016734036802652244,0.010661563371194662,7.414646601026587e-8,604.3219738895885,332.1457665152875,0.1198480103536821,-0.15470789169669674,0.0007767176494643917,4173.305036597098,683.8353417692665,0.021498820204522016,-0.04009134999993041,-180.00117172138823
2.6210928619658116e-6,224.70078006307264,3503.7653462353587,0.0038089869994920723,0.009544797348006421,3.063209599941094e-6,365.25643717394684,3624.4024350876784,0.01745528004841554,0.010524643940878342,3.8031828372603845e-7,614.5362067563588,194.82941186750483,0.03505025502868071,-0.008054957663831904,0.0008530513183481902,4161.280748016461,676.8272791384138,0.03267658617748246,-0.04078832703978154,-178.19451568402656
2.3402653745751314e-6,224.70078101046437,3503.7653249173964,-0.010011835280363895,0.01046233354538392,2.989910677946582e-6,365.2564560075067,3624.4021379933624,0.006806490584835208,0.010841465432691608,5.203997141502652e-7,624.9230802974131,163.41901537637676,0.022871439966383387,-0.02093512916409257,0.0006171453023047866,4160.386383488952,952.4563422637299,-0.03350824000017027,-0.013350432441531024,-178.1253391117507
2.412715509304609e-6,224.7007804738713,3503.7653457639904,-0.013007372003905822,0.00715354492838303,2.9650257536823885e-6,365.25645896345196,3624.4020928188097,0.0033682618592077314,0.00813173223439569,3.459160821394955e-7,635.4855124805323,41.4119579886784,-0.013352598138082707,0.047402303923942575,0.0008983595412545534,4124.723940691202,779.1015872972422,0.03676957214699814,-0.037153221727092504,-176.61373234096627
2.4302893721388688e-6,224.7007791228508,3503.7653735435188,-0.008260339922622255,0.0075790080281074295,2.9942611731880595e-6,365.2564534071232,3624.4021807021536,0.007467954670592913,0.008642678306774386,7.300458937187208e-11,646.2264705929065,557.771154072917,-397.8142336757975,-0.22701881706833849,0.0009698686425691954,4210.747080573027,607.8629239053289,0.0405121173134504,-0.03467584550183508,-181.05277713592704
2.520318391673802e-6,224.7007810111645,3503.7653424064747,-0.0053356438239866594,0.008071449406429596,2.9941141030570594e-6,365.2564517567474,3624.402228150541,0.008969871535153922,0.010022535066275763,2.2531694903280242e-7,657.1489720747298,595.4067653185725,0.12540291909581303,-0.020827456092060527,0.0008304966429196172,4243.646348125153,503.5692098836833,0.02848503755587702,-0.03975479235472104,-176.72646184590474
2.392598985081239e-6,224.70080019392626,3503.764708600872,0.012132881669715592,0.007428013022829726,3.1250239600375124e-6,365.2564546177902,3624.4021720929104,0.02390262208241265,0.008339689190197579,2.1675606480686385e-7,668.2560853668841,454.9190668413627,0.07259014473374838,0.25533075466755767,0.0007151914569325443,4217.548326502984,669.459266647022,0.02769549266905688,-0.02616472511079088,-176.11205965779453
2.4614170348644594e-6,224.70078360054654,3503.7649204732843,-0.00860360472206964,0.00885249921153868,2.971508955948848e-6,365.256458984134,3624.402080943584,0.006981458837233897,0.010228561700292795,2.08514605636218e-7,679.5509307729542,489.2479977114899,-0.09402205214047574,-0.20973402209298023,0.0009662776802613685,4252.094534798274,511.95723073975245,0.020495947189771987,-0.04541722463415124,-176.7042818952998
2.4476596168460694e-6,224.70077754038837,3503.7654277631127,-0.0019629339544460726,0.005007372311019932,3.013933232133524e-6,365.2564530112518,3624.4021879336606,0.012011731674843935,0.007170880765560866,4.227694084640971e-7,691.0366813358056,383.37721046682515,-0.09182542126700882,-0.0434163894393661,0.000903160024254238,4340.610120447297,333.66285463429114,0.024141650886394427,-0.03905301974456929,-171.527060679869
2.5738408304608934e-6,224.7007790852557,3503.7653709163833,0.0005187187893157097,0.0073566955601634815,3.0504767376928616e-6,365.2564379564395,3624.4023997230197,0.014809955960015045,0.008441557227262456,4.2623940827770193e-7,702.7165637289851,171.57052739757384,-0.0191260096538644,0.022364010011068438,0.0007902361018603061,4289.521153183761,430.5796399523022,0.01476433536890859,-0.04363897451053676,-180.08140633426117
2.590431696534175e-6,224.70077974580863,3503.7653558303145,0.0006151791907861274,0.012317675591707641,3.049713496435098e-6,365.2564295973839,3624.402462087013,0.014744560494388959,0.012415520334976457,8.176176764925299e-7,714.5938591631832,766.9740272997237,-0.002792610565859206,0.031308639581293846,0.0007456761292501039,4268.213710600544,441.595817608905,0.016094282130380277,-0.04844434796078235,-179.3011666629681
2.5597932186274047e-6,224.7007795757595,3503.76535139081,0.0037651725130623164,0.006629643094213638,3.0830335815057127e-6,365.2551419874811,3624.416270740155,0.017038023581791767,0.007883645930547481,3.870629574349326e-6,726.6719043080232,708.1943894281967,0.03163853700195005,0.018300880507046688,0.0006898787886242532,4238.088748131588,550.8961219365266,0.0061361782345608065,-0.045569408362908854,-178.14681717462108
2.645624295096559e-6,224.70077895050954,3503.765376620676,0.00872310484886622,0.00878439252372194,3.0996905215655774e-6,365.2562780170565,3624.402788592931,0.021283807357436856,0.009234321864955217,9.819273239366077e-7,738.9540922294209,289.0824318190646,0.08940169619519721,0.027169839184429435,0.0006518288226720715,4283.953545389849,446.6190186295946,-0.001426976710828216,-0.048466206382991206,-180.1882012432064
2.4605556184699054e-6,224.70077991885685,3503.7653530102366,-0.006235499690524243,0.0015240834848064154,3.0073214647882323e-6,365.2565211637324,3624.4011345285,0.009309872427207948,0.004354588463552555,1.4645347593880183e-6,751.4438733427974,166.92706047142659,0.06993078424662226,0.020059786631410143,0.0009445433048738644,4264.6626544193705,538.5054577974875,0.02459691646122978,-0.032976777297316504,-177.79398034396485
2.675037757554346e-6,224.70077854921186,3503.7653915150336,0.010270472345507006,0.012226060597556737,3.1206296094735774e-6,365.25643865664506,3624.402384596169,0.022773080222337684,0.011916248497282664,5.76902010262175e-7,764.144756382397,288.1568327829714,0.15840776731642453,0.03924508843599404,0.0006762832816280562,4337.575608041953,339.1803680735763,0.010692211121293423,-0.03323594820778765,-178.1877510882533
2.4052914143069127e-6,224.70077899855767,3503.7653751693915,-0.004492742056915198,0.0035209637750310305,2.9985640824341284e-6,365.25645533263037,3624.4021604172744,0.009636941594022902,0.0060827295040999695,9.420210898933525e-7,777.0603093869898,520.0698693948023,0.15008387434690038,0.029848580950658923,0.0009564455024343417,4342.454772736134,328.1682685363439,0.02596552447497816,-0.03905072020723043,-172.31384855795784
2.66532004441381e-6,224.70078029928055,3503.7653363978357,-0.011962503437907493,0.007654748786640656,2.9563775869591348e-6,365.25645913429213,3624.402083259558,0.004933423131854183,0.009061336619720247,7.310768444807152e-7,790.194160702239,365.2873027699475,0.1843731359782653,0.09022294112988273,0.0010398942836825627,4254.88549695608,513.440091996235,0.02263908565301277,-0.03863004982481191,-176.05391969016793
2.5251255975644625e-6,224.70077851019687,3503.765401918784,0.01901126295027512,0.006916822247698968,3.172959720875958e-6,365.2564515589853,3624.402218948504,0.028987774263137776,0.008021584311351053,1.959402027493041e-7,803.5500000000002,36.61105951071042,-0.19226346547573522,-0.5016457886461108,0.0005909625608627716,4280.245841878524,491.8443286253518,0.022943439549325217,-0.024035353600837337,-177.47547033679024
