mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,lprob
2.3407978265900106e-6,224.70077222541832,3503.7655296357007,-0.0018374763421078425,-0.0017541278391619997,3.0218367701422776e-6,365.2564585399042,3624.4021773987092,0.011463992490028496,0.0016876898910628234,2.241969064263938e-7,686.7898665060217,386.3051663040424,-0.046868520819108715,-0.18112755968458016,0.0011100661583270499,4339.751508054418,364.7914858201492,0.03271704953988206,-0.036137822688637494,-199.63951294439516
2.337361922731975e-6,224.70077238428493,3503.765533937573,-0.0012841208154158027,-0.0018317516538815248,3.0259989852843154e-6,365.2564582358887,3624.402184643352,0.011862365771582846,0.0015721312673092414,2.2484365462486953e-7,687.3453690260721,384.3993497645214,-0.06395420945642258,-0.174919822185999,0.001094237035422775,4338.628100707423,367.53648120564515,0.03275348721484082,-0.03587931108671442,-199.32742592522803
2.3338897526256697e-6,224.70077252601874,3503.7655376249204,-0.0007259037655799713,-0.0019310660412254763,3.0303683888910134e-6,365.2564578952374,3624.402192808403,0.012271636592841034,0.0014406096354339394,2.270350296107437e-7,687.9013208582992,382.62175088997674,-0.0783024476116946,-0.16642942392557272,0.0010791587530672713,4337.64754824936,370.6684868610309,0.0327520590570218,-0.035518142823914564,-199.19504029142013
2.3304716216210766e-6,224.70077265763396,3503.765540585438,-0.00016514199529995814,-0.002050180632018514,3.0349463551267247e-6,365.25645751579054,3624.402201772273,0.01269078513892767,0.0012950241975151376,2.3027853852451998e-7,688.4577223661241,380.70589714156836,-0.08955254716504445,-0.15667244204011094,0.0010646754472328774,4336.799921120257,374.2199406269772,0.03270505852795995,-0.03506139930932911,-199.26524516188314
2.3272618914003146e-6,224.7007727836573,3503.7655427501018,0.0003966501340591986,-0.0021844683114769794,3.0397282374824553e-6,365.25645709517977,3624.4022113869123,0.01311907578182238,0.0011393368572458367,2.3420281766677745e-7,689.0145739132622,378.4552972343204,-0.09770537294699977,-0.146461909243991,0.001050643627406552,4336.06494476904,378.18334726414594,0.03260958974179694,-0.0345230604371161,-199.55593679698788
2.324445865164895e-6,224.7007729072995,3503.765544073743,0.0009591487282117174,-0.0023301514342691327,3.0447092405948893e-6,365.25645663351895,3624.402221448463,0.013556590614957382,0.0009765212354397396,2.3844750927581016e-7,689.5718758637227,375.72337757511474,-0.10296708992851072,-0.13644419437375946,0.001036916770069204,4335.404852114645,382.56872932348347,0.032463558538961046,-0.03391989344029163,-200.07554366758612
2.322233436947922e-6,224.7007730296126,3503.765544564964,0.0015231482929089655,-0.0024797945392499602,3.0498762624449116e-6,365.25645613047334,3624.402231766056,0.014003831861048196,0.0008123725665892414,2.428118405964562e-7,690.1296285818095,372.4466797453569,-0.1056848938974572,-0.12698436408402933,0.0010233666828133568,4334.781866255343,387.3192379738571,0.03226887153876708,-0.033274989398697684,-200.8194476323668
2.3208257682648085e-6,224.70077315053476,3503.765544270301,0.0020898585468287615,-0.0026265414216202925,3.0552078096531685e-6,365.2564555870138,3624.4022421565605,0.014461363443456374,0.0006520781901448964,2.471558123747799e-7,690.6878324321212,368.60970372048143,-0.10625485443354425,-0.1182805588966892,0.0010098921960337622,4334.1651644194835,392.3398511137918,0.03202843559847872,-0.03261308101684619,-201.76886563575235
2.3203972529039744e-6,224.7007732691547,3503.765543273539,0.0026610917458584253,-0.002762991798950779,3.060678008819486e-6,365.2564550044619,3624.402252481286,0.014929919831504337,0.0005011676679380156,2.5142460956203384e-7,691.2464877795511,364.2411432074731,-0.10508425177609189,-0.11038484427594927,0.0009964213218333687,4333.528166986241,397.5071015792639,0.031746379338321695,-0.03195888903909933,-202.89290528057978
2.321077852853261e-6,224.7007733839762,3503.7655416904763,0.0032392369416565548,-0.0028819233051339487,3.0662576060475003e-6,365.2564543831827,3624.402262677126,0.015410350685045256,0.00036501666640205394,2.557060797422935e-7,691.8055949892877,359.41446075148446,-0.10256452083544396,-0.10321086390411645,0.000982891134012897,4332.848962264397,402.6850587850749,0.03142542305716309,-0.03133618953140046,-204.15324190657927
2.3229558670256678e-6,224.7007734934779,3503.7655396488817,0.0038258275292859015,-0.002977621549174628,3.071915344979366e-6,365.2564537227324,3624.402272754136,0.01590280378422253,0.00024777418795366097,2.60034571323957e-7,692.365154426815,354.1984188086913,-0.0990505717970725,-0.09668776324961412,0.0009692904103863781,4332.132623450001,407.6981206396972,0.031067418887275385,-0.03076505556693224,-205.5098816648026
2.326059491588628e-6,224.70077359631014,3503.7655372788595,0.00442179702674582,-0.0030467304309465776,3.077620115734306e-6,365.25645302152986,3624.402282794933,0.016406938869655788,0.00015175823984660362,2.6446100032058577e-7,692.9251664579125,348.6761978598287,-0.09486597049168043,-0.09071633061942388,0.0009556231631616563,4331.373114678657,412.4362375812079,0.030672131930072427,-0.030259345608333443,-206.9262786617973
2.3303830067991834e-6,224.7007736911093,3503.765534706916,0.005026251129779382,-0.0030866701515496592,3.0833380816984775e-6,365.25645227533096,3624.402292958172,0.01692111917235077,7.874150324157295e-5,2.6891654227894876e-7,693.4856314486557,342.91251132255803,-0.09028553925599891,-0.08525109722577952,0.0009419436776019446,4330.587091485701,416.77011579897606,0.03023849489195016,-0.029828962055254732,-208.37262800797777
2.3358911027010143e-6,224.70077377659416,3503.765532048925,0.005636635467478064,-0.003094698424322656,3.089031035307124e-6,365.2564514772714,3624.4023034642305,0.017442499960802504,3.079590156313512e-5,2.732422261959389e-7,694.0465497654159,336.96591225683767,-0.08553789319170221,-0.08026690880980228,0.0009283358721882159,4329.790132870148,420.59019176657273,0.029765056700930454,-0.029481144184894673,-209.8270049173191
2.3425235562396298e-6,224.70077385154232,3503.7655294045358,0.0062483150223590096,-0.0030701597826621007,3.094654872609372e-6,365.25645061951195,3624.402314550873,0.01796689081386708,8.440681346991743e-6,2.770695005314695e-7,694.607921774861,330.8681472290693,-0.08080014115637199,-0.075800616629352,0.0009149067308828456,4328.986701408337,423.85279949430316,0.0292488763825993,-0.02921956971753982,-211.27469506994672
