mu_1,P_1,t01,ecos1,esin1,mu_2,P_2,t02,ecos2,esin2,mu_3,P_3,t03,ecos3,esin3,mu_4,P_4,t04,ecos4,esin4,mu_5,P_5,t05,ecos5,esin5,lprob
2.321618620808361e-6,224.70077437797156,3503.765513660892,0.0041959671781375855,-0.0046731879595510286,3.0535900314964437e-6,365.25646224120965,3624.40216433036,0.016127079694254053,-0.0009346359993364077,2.831332268817821e-7,690.3948391767191,356.20207539521033,-0.026572508192039785,-0.11561611492162491,0.0010195883329052996,4327.283511428509,420.94786462458677,0.0353367404430019,-0.0355204087783226,0.0010195883329052996,4327.283511428509,420.94786462458677,0.0353367404430019,-0.0355204087783226,-205.37103284467267
2.322705515545954e-6,224.70077437858558,3503.765513619327,0.0042703593666720335,-0.004667893042176873,3.053997486569813e-6,365.2564622654708,3624.4021638641525,0.016187292280980595,-0.0009323270178057918,2.828106583443752e-7,690.379890116458,356.47231456525867,-0.02686417455897792,-0.1157613063255692,0.0010180710615637798,4327.23358551346,420.7842609283803,0.03536977894928166,-0.035632580759989436,0.0010180710615637798,4327.23358551346,420.7842609283803,0.03536977894928166,-0.035632580759989436,-205.35730199437947
2.3237921548185754e-6,224.70077437917442,3503.765513578813,0.004345447829258529,-0.0046624561509162905,3.0544116454482343e-6,365.2564622900198,3624.402163391587,0.016248102727469536,-0.0009299470525904343,2.825067367746445e-7,690.3653758470093,356.73269971564076,-0.027140122342167713,-0.11589850450986072,0.0010165436940312773,4327.182385191278,420.6266165251316,0.03540224791510005,-0.03574449798369718,0.0010165436940312773,4327.182385191278,420.6266165251316,0.03540224791510005,-0.03574449798369718,-205.34326545599035
2.3248721048971176e-6,224.7007743797715,3503.7655135426266,0.004421109592362747,-0.004656292909206062,3.054832819485977e-6,365.25646231515515,3624.402162909172,0.01630936176151038,-0.0009269927389133842,2.8226938550602806e-7,690.3520215927946,356.97813741660985,-0.027403528338138687,-0.11600686029066891,0.0010150062908561525,4327.129349115172,420.4727070989209,0.03543413867014128,-0.035856055940556034,0.0010150062908561525,4327.129349115172,420.4727070989209,0.03543413867014128,-0.035856055940556034,-205.32892887309862
2.3259646764958285e-6,224.70077438019132,3503.76551351092,0.004498186035573464,-0.004650111737681289,3.0552644198932017e-6,365.25646233963766,3624.402162434588,0.01637182524170953,-0.0009240486441640074,2.820587806821366e-7,690.3387963189496,357.21839040373453,-0.02764536512839134,-0.11609995966164381,0.0010134490433512586,4327.080101517143,420.3119665034562,0.03546550414114796,-0.03596855142877142,0.0010134490433512586,4327.080101517143,420.3119665034562,0.03546550414114796,-0.03596855142877142,-205.3142974782958
2.3270467683386647e-6,224.700774380715,3503.7655134792785,0.004575239060422513,-0.004643879704279272,3.055698267901916e-6,365.2564623654048,3624.402161941146,0.016434286030898738,-0.0009210854657069562,2.818597926061446e-7,690.3262007293322,357.44455282390527,-0.027871464905858144,-0.11619221698172234,0.0010118948117555594,4327.027020763203,420.1641518618613,0.03549678852826453,-0.03607997054521248,0.0010118948117555594,4327.027020763203,420.1641518618613,0.03549678852826453,-0.03607997054521248,-205.29937632942313
2.3281487932196484e-6,224.70077438095194,3503.765513455255,0.004654316529905282,-0.004637485979407933,3.0561458672297694e-6,365.2564623897701,3624.4021614658527,0.016498439213423463,-0.0009180049628235052,2.8170769037117586e-7,690.313744948847,357.67020064296196,-0.028083193907061006,-0.11625791457583168,0.001010306981352458,4326.980131934551,420.00151915641635,0.03552777687083204,-0.03619321983466416,0.001010306981352458,4326.980131934551,420.00151915641635,0.03552777687083204,-0.03619321983466416,-205.2841700207597
2.241720201300049e-6,224.700775109473,3503.765510513535,-0.00024208983899608674,-0.0030990719988410226,3.0416377689676754e-6,365.2564643903711,3624.402108926691,0.012817958096011639,0.0004170033930236779,4.883798672314687e-7,693.6389854632076,298.6722856817135,0.010657235764157879,-0.047224874741015624,0.0011297894697656422,4337.212185968806,423.4285291875848,0.03285137662186063,-0.023021834771805378,0.0011297894697656422,4337.212185968806,423.4285291875848,0.03285137662186063,-0.023021834771805378,-204.40402689048213
2.330370106103453e-6,224.70077438148297,3503.765513412311,0.004815329271604151,-0.004622386297125737,3.0570648396380877e-6,365.25646244062295,3624.4021604828995,0.016629055273776377,-0.0009100600289682023,2.814689085490863e-7,690.290291588412,358.09468018428583,-0.028474200641420408,-0.1163640702076359,0.001007092002560641,4326.878907058734,419.6795388339263,0.03559215490029421,-0.03642138142609626,0.001007092002560641,4326.878907058734,419.6795388339263,0.03559215490029421,-0.03642138142609626,-205.25291977644673
2.3314943272954886e-6,224.70077438173837,3503.7655133945996,0.004898192111526034,-0.0046156067416599994,3.0575416698705773e-6,365.2564624664994,3624.4021599822404,0.016696311545504716,-0.0009067664684437507,2.8138085726328826e-7,690.2792836464037,358.2928508338656,-0.02864417233005427,-0.11640306354581473,0.0010054449539806268,4326.826244892021,419.5294220304354,0.03562365339142441,-0.03653661623761464,0.0010054449539806268,4326.826244892021,419.5294220304354,0.03562365339142441,-0.03653661623761464,-205.2368840719125
2.2420781298398686e-6,224.70077515585058,3503.7655094368456,-0.0002746327256784898,-0.003092017655157208,3.0414483090561333e-6,365.25646448912687,3624.4021065090533,0.012794727212620633,0.0004211449987702395,4.901743821681393e-7,693.6970733178116,298.1712171075728,0.01042018304668657,-0.04652452100812646,0.0011297896863038716,4336.83741304472,424.0120856708978,0.03280966738248609,-0.023072641997494807,0.0011297896863038716,4336.83741304472,424.0120856708978,0.03280966738248609,-0.023072641997494807,-204.37335045206964
2.3337575898197964e-6,224.70077438197447,3503.765513368876,0.005066023043119074,-0.004599542416552443,3.0585130494977613e-6,365.2564625185759,3624.402158973302,0.01683255987330205,-0.0008981819559070619,2.813022116489337e-7,690.2583008553912,358.67007089670733,-0.028945827526956104,-0.11643736968147664,0.0010021278080525804,4326.723423111399,419.2098351175912,0.03568812271107805,-0.03676981187116683,0.0010021278080525804,4326.723423111399,419.2098351175912,0.03568812271107805,-0.03676981187116683,-205.20401075905977
2.3349007898194714e-6,224.70077438193962,3503.765513362652,0.005151748579125532,-0.004591413017174416,3.0590123795462723e-6,365.2564625442954,3624.4021584715006,0.01690218549278813,-0.0008938323216769959,2.813179059717815e-7,690.2484786850365,358.8476909810365,-0.029071924244283388,-0.11642769086628689,0.0010004427765266228,4326.673676931542,419.0467236944468,0.035720337897024,-0.03688820042838055,0.0010004427765266228,4326.673676931542,419.0467236944468,0.035720337897024,-0.03688820042838055,-205.1871804011924
2.3360639244268732e-6,224.70077438176293,3503.7655133580847,0.005239501711317833,-0.004582886535260734,3.0595240250145164e-6,365.256462569747,3624.402157972963,0.016973428284283748,-0.0008892104790801932,2.8133819449115646e-7,690.2383750512067,359.02749319503744,-0.029193507284277057,-0.11641912910580102,0.0009987279057678286,4326.624787923362,418.876526167812,0.03575247309376464,-0.03700855309892584,0.0009987279057678286,4326.624787923362,418.876526167812,0.03575247309376464,-0.03700855309892584,-205.17009207795167
2.337224626230313e-6,224.70077438163543,3503.7655133571257,0.005328092471193816,-0.0045737662492276905,3.06004480939438e-6,365.2564625953993,3624.402157471067,0.017045375472731963,-0.0008841348975600223,2.81395044929329e-7,690.2294258232836,359.18985014197807,-0.02929776452229979,-0.11639284904926686,0.0009970016925561994,4326.578138979615,418.70215561242463,0.03578489942573501,-0.03712799033214468,0.0009970016925561994,4326.578138979615,418.70215561242463,0.03578489942573501,-0.03712799033214468,-205.1527490329253
2.3384147552376565e-6,224.7007743814589,3503.7655133577414,0.005419307390788192,-0.00456531111303871,3.060581434952555e-6,365.2564626214851,3624.402156959616,0.017119449111545382,-0.000879639681108165,2.8147242956834393e-7,690.2203908956764,359.35116489971057,-0.0293853887011335,-0.11635739747116215,0.0009952296482902217,4326.527077805613,418.5357297800496,0.03581705479001738,-0.037251284475344704,0.0009952296482902217,4326.527077805613,418.5357297800496,0.03581705479001738,-0.037251284475344704,-205.1351543592597
2.3396100067187245e-6,224.70077438114657,3503.7655133622716,0.005511249557377705,-0.004556306828245145,3.0611234988753168e-6,365.2564626477559,3624.4021564447276,0.017194117944723763,-0.0008747065086697652,2.8157746907613014e-7,690.2115702203761,359.50873132250445,-0.029466737348566356,-0.11631064671395826,0.0009934501338412724,4326.47473312359,418.3675121991477,0.03585052657106798,-0.0373761357283652,0.0009934501338412724,4326.47473312359,418.3675121991477,0.03585052657106798,-0.0373761357283652,-205.1173110149403
2.3408212883183068e-6,224.70077438063632,3503.7655133705816,0.005604800539218802,-0.004545683297827001,3.0616760295985753e-6,365.25646267290324,3624.402155947883,0.017270062256044185,-0.0008684888524055292,2.8169783751685773e-7,690.2027121882589,359.6664668716144,-0.02954289528753624,-0.116258281927675,0.000991655451012742,4326.430114472341,418.17096264310095,0.03588481674835198,-0.0375019001612509,0.000991655451012742,4326.430114472341,418.17096264310095,0.03588481674835198,-0.0375019001612509,-205.0992218695144
2.342046312522166e-6,224.700774380326,3503.7655133800577,0.005700821707513278,-0.004537158514481354,3.062246377866547e-6,365.2564626996272,3624.4021554238,0.017348059474393586,-0.0008640313918594992,2.818473211976797e-7,690.1947562723966,359.80992700091025,-0.029598477974081154,-0.11619182166275391,0.000989807062528816,4326.372662635359,418.0155905721952,0.03591873951974693,-0.03762987507625537,0.000989807062528816,4326.372662635359,418.0155905721952,0.03591873951974693,-0.03762987507625537,-205.0808895874526
2.3432933405932264e-6,224.70077437975635,3503.765513393922,0.005798431115627063,-0.004527179396937687,3.0628276200463034e-6,365.2564627252583,3624.4021549145905,0.01742733674538055,-0.0008584189300591569,2.820292391121264e-7,690.1867743246063,359.94905107866487,-0.029628400992457973,-0.11610950659747193,0.000987943761257399,4326.326079170821,417.8256126626581,0.03595180485881435,-0.03776017027733992,0.000987943761257399,4326.326079170821,417.8256126626581,0.03595180485881435,-0.03776017027733992,-205.06231679914083
2.3445589000118643e-6,224.70077437911868,3503.7655134094866,0.005898210353332124,-0.004517110501501895,3.063421548638297e-6,365.2564627511572,3624.4021544012435,0.01750832947331286,-0.0008527769218757571,2.822162652844573e-7,690.1787217786327,360.09077517393564,-0.029665258421482432,-0.11602962399519023,0.0009860483216053361,4326.275401472256,417.6384997504321,0.035986645930221946,-0.037892886738573064,0.0009860483216053361,4326.275401472256,417.6384997504321,0.035986645930221946,-0.037892886738573064,-205.04350601840522
2.3458336607961603e-6,224.70077437835195,3503.7655134288743,0.005999066414471141,-0.00450654448873763,3.0640232037468254e-6,365.2564627767694,3624.4021538918732,0.017590213376587446,-0.0008467368179733871,2.824313901095174e-7,690.1708844781316,360.2267713768218,-0.029685076031214827,-0.11593782694339452,0.0009841412978257576,4326.228153489897,417.440598568478,0.036021726819275166,-0.0380268730151293,0.0009841412978257576,4326.228153489897,417.440598568478,0.036021726819275166,-0.0380268730151293,-205.0244595857676
2.347118981239388e-6,224.70077437772184,3503.7655134502756,0.00610191865976001,-0.004496541149579576,3.0646402424918783e-6,365.25646280330585,3624.402153366208,0.017673719691569056,-0.0008411986097454805,2.82693890850822e-7,690.1641725180781,360.3459005389975,-0.02968236692119659,-0.11582367802861378,0.0009821975167827646,4326.175268855846,417.2585905478013,0.03605634065691958,-0.0381626670215895,0.0009821975167827646,4326.175268855846,417.2585905478013,0.03605634065691958,-0.0381626670215895,-205.0051798232052
2.3484388131030944e-6,224.7007743766734,3503.7655134780834,0.00620731916644461,-0.004485423971500611,3.065271296111359e-6,365.2564628283568,3624.402152862464,0.017759291746379517,-0.0008347802166755325,2.8295363327719675e-7,690.156611179588,360.477069333021,-0.02968481072397332,-0.1157129171956575,0.0009802236970312247,4326.129602926446,417.04635468515767,0.03609391810420602,-0.03830195392569206,0.0009802236970312247,4326.129602926446,417.04635468515767,0.03609391810420602,-0.03830195392569206,-204.98566885270364
2.349774681386543e-6,224.7007743758131,3503.765513505832,0.006315388312662323,-0.004475019001646934,3.0659216670066967e-6,365.2564628543123,3624.4021523431134,0.017846993515228483,-0.0008290198755247121,2.8326221279668974e-7,690.1500664531795,360.59314064524176,-0.029662596235717847,-0.11557924715211604,0.0009782020753296204,4326.075807012653,416.85572943023743,0.03612968260624609,-0.03844406778057122,0.0009782020753296204,4326.075807012653,416.85572943023743,0.03612968260624609,-0.03844406778057122,-204.96592868791708
