584.4	-180.71635173708134
604.0580763211021	-180.11753819070074
624.3774119930699	-178.08023446011188
645.3802504909003	-180.6769930939562
667.0895835167081	-175.3764625240481
689.5291761686303	-170.39998863500506
712.7235929563607	-178.97543784732505
736.6982246917916	-180.6368170260703
761.4793162842141	-179.78693568016047
787.0939954704834	-173.79146266910004
813.5703025116187	-174.695370769398
840.9372208883394	-180.93600932446867
869.2247090291308	-176.75393851647144
898.4637331055886	-179.59023676791577
928.6863009309344	-181.1562810413565
959.9254969988019	-179.1295958628324
992.2155187006745	-176.59748999885363
1025.5917137615913	-177.65995214879402
1060.0906189351278	-180.65515732141583
1095.7499999999998	-182.29488120386623
